"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia YAULI (000)",17421,14612,2809
"Casa independiente (001)",12864,10856,2008
"Departamento en edificio (002)",1987,1987,
"Vivienda en quinta (003)",893,893,
"Vivienda en casa de vecindad (004)",803,803,
"Choza o cabaña (005)",774,,774
"Vivienda improvisada (006)",31,31,
"Local no dest.para hab. humana (007)",27,23,4
"Otro tipo (008)",42,19,23
