"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia PARURO (000)",17407,8884,49,124,7878,227,11,4,,230
"Hombres (001)",6675,4759,34,53,1586,108,10,1,,124
"Mujeres (002)",10732,4125,15,71,6292,119,1,3,,106
"De 06 a 14 años (003)",7509,7163,,,184,96,,,,66
"Hombres (004)",3926,3759,,,88,44,,,,35
"Mujeres (005)",3583,3404,,,96,52,,,,31
"De 15 a 29 años (006)",3571,1672,,24,1822,,6,1,,46
"Hombres (007)",1403,982,,16,380,,5,,,20
"Mujeres (008)",2168,690,,8,1442,,1,1,,26
"De 30 a 44 años (009)",2468,31,2,32,2370,,3,2,,28
"Hombres (010)",472,10,2,14,420,,3,1,,22
"Mujeres (011)",1996,21,,18,1950,,,1,,6
"De 45 a 64 años (012)",2181,11,16,29,2090,1,1,,,33
"Hombres (013)",412,8,14,6,363,1,1,,,19
"Mujeres (014)",1769,3,2,23,1727,,,,,14
"De 65 y más años (015)",1678,7,31,39,1412,130,1,1,,57
"Hombres (016)",462,,18,17,335,63,1,,,28
"Mujeres (017)",1216,7,13,22,1077,67,,1,,29
,,,,,,,,,,
"AREA URBANA (018)",5587,2889,37,79,2413,82,4,3,,80
"Hombres (019)",2150,1523,25,36,485,36,3,1,,41
"Mujeres (020)",3437,1366,12,43,1928,46,1,2,,39
"De 06 a 14 años (021)",2304,2186,,,73,23,,,,22
"Hombres (022)",1206,1143,,,43,7,,,,13
"Mujeres (023)",1098,1043,,,30,16,,,,9
"De 15 a 29 años (024)",1186,680,,14,477,,2,,,13
"Hombres (025)",499,371,,10,111,,1,,,6
"Mujeres (026)",687,309,,4,366,,1,,,7
"De 30 a 44 años (027)",761,16,2,23,708,,2,2,,8
"Hombres (028)",146,5,2,10,120,,2,1,,6
"Mujeres (029)",615,11,,13,588,,,1,,2
"De 45 a 64 años (030)",693,5,11,17,649,,,,,11
"Hombres (031)",123,4,11,3,101,,,,,4
"Mujeres (032)",570,1,,14,548,,,,,7
"De 65 y más años (033)",643,2,24,25,506,59,,1,,26
"Hombres (034)",176,,12,13,110,29,,,,12
"Mujeres (035)",467,2,12,12,396,30,,1,,14
,,,,,,,,,,
"AREA RURAL (036)",11820,5995,12,45,5465,145,7,1,,150
"Hombres (037)",4525,3236,9,17,1101,72,7,,,83
"Mujeres (038)",7295,2759,3,28,4364,73,,1,,67
"De 06 a 14 años (039)",5205,4977,,,111,73,,,,44
"Hombres (040)",2720,2616,,,45,37,,,,22
"Mujeres (041)",2485,2361,,,66,36,,,,22
"De 15 a 29 años (042)",2385,992,,10,1345,,4,1,,33
"Hombres (043)",904,611,,6,269,,4,,,14
"Mujeres (044)",1481,381,,4,1076,,,1,,19
"De 30 a 44 años (045)",1707,15,,9,1662,,1,,,20
"Hombres (046)",326,5,,4,300,,1,,,16
"Mujeres (047)",1381,10,,5,1362,,,,,4
"De 45 a 64 años (048)",1488,6,5,12,1441,1,1,,,22
"Hombres (049)",289,4,3,3,262,1,1,,,15
"Mujeres (050)",1199,2,2,9,1179,,,,,7
"De 65 y más años (051)",1035,5,7,14,906,71,1,,,31
"Hombres (052)",286,,6,4,225,34,1,,,16
"Mujeres (053)",749,5,1,10,681,37,,,,15
