"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUANCABAMBA (000)",43089,41865,13232,4412,3999,3466,5428,4427,3481,3420,1224,144055
"De 12 a 14 años (001)",5294,5249,5227,18,4,,,,,,45,26
"De 15 a 19 años (002)",5825,5737,4972,652,92,18,3,,,,88,902
"De 20 a 24 años (003)",4575,4213,1457,1409,878,359,102,8,,,362,4723
"De 25 a 29 años (004)",3929,3662,477,855,915,703,609,93,10,,267,8078
"De 30 a 34 años (005)",3639,3503,228,470,725,723,910,367,75,5,136,11103
"De 35 a 39 años (006)",3527,3448,157,285,450,568,1024,639,268,57,79,14392
"De 40 a 44 años (007)",3207,3135,159,176,298,331,764,705,467,235,72,16225
"De 45 a 49 años (008)",2854,2804,112,131,190,238,568,648,548,369,50,16762
"De 50 y más años (009)",10239,10114,443,416,447,526,1448,1967,2113,2754,125,71844
"Conviviente (010)",14787,14565,872,2113,2204,1954,2829,1965,1444,1184,222,63246
"De 12 a 14 años (011)",72,33,18,12,3,,,,,,39,18
"De 15 a 19 años (012)",832,759,265,404,73,15,2,,,,73,603
"De 20 a 24 años (013)",2211,2163,247,854,673,298,88,3,,,48,3482
"De 25 a 29 años (014)",2181,2158,85,416,598,527,456,71,5,,23,5648
"De 30 a 34 años (015)",2029,2022,49,168,372,462,638,274,57,2,7,7347
"De 35 a 39 años (016)",1863,1855,34,85,196,302,625,405,173,35,8,8589
"De 40 a 44 años (017)",1521,1518,39,52,108,148,382,376,277,136,3,8671
"De 45 a 49 años (018)",1199,1198,37,34,65,84,252,273,278,175,1,7659
"De 50 y más años (019)",2879,2859,98,88,116,118,386,563,654,836,20,21229
"Separado(a) (020)",2291,2270,37,758,470,263,350,221,117,54,21,7061
"De 12 a 14 años (021)",7,6,5,1,,,,,,,1,1
