"CUADRO Nº 21: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia HUANCAVELICA (000)",47753,8309,4027,22172,260,9239,428,3318
"Agric., ganadería, caza y silvicultura (001)",24076,35,869,14720,80,8372,,
"Pesca (002)",18,2,5,3,3,5,,
"Explotación de minas y canteras (003)",938,104,797,29,7,1,,
"Industrias manufactureras (004)",2097,32,240,1629,36,160,,
"Suministro de electricidad, gas y agua (005)",64,42,22,,,,,
"Construcción (006)",1679,92,1114,438,20,15,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3831,261,56,3036,51,427,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",205,17,39,126,8,15,,
"Comercio al por mayor (009)",136,24,7,87,6,12,,
"Comercio al por menor (010)",3490,220,10,2823,37,400,,
"Hoteles y restaurantes (011)",989,262,67,569,29,62,,
"Trans., almac. y comunicaciones (012)",1176,266,179,696,10,25,,
"Intermediación financiera (013)",77,75,1,1,,,,
"Activid.inmobil., empres. y alquileres (014)",811,562,17,204,11,17,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",2205,1794,411,,,,,
"Enseñanza (016)",3577,3450,9,110,1,7,,
"Servicios sociales y de salud (017)",979,929,15,34,1,,,
"Otras activ. serv.comun.soc y personales (018)",691,227,23,424,7,10,,
"Hogares privados con servicio doméstico (019)",428,,,,,,428,
"Actividad economica no especificada (021)",799,176,202,279,4,138,,
"Desocupado (022)",3318,,,,,,,3318
"Hombres (023)",29648,4779,3580,15738,171,2990,26,2364
"Agric., ganadería, caza y silvicultura (024)",15517,26,722,12031,53,2685,,
"Pesca (025)",15,2,4,2,3,4,,
"Explotación de minas y canteras (026)",923,97,789,29,7,1,,
"Industrias manufactureras (027)",826,22,192,547,21,44,,
"Suministro de electricidad, gas y agua (028)",59,37,22,,,,,
"Construcción (029)",1612,81,1066,432,20,13,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",1621,122,53,1325,26,95,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",183,12,37,116,8,10,,
"Comercio al por mayor (032)",79,11,6,57,5,,,
"Comercio al por menor (033)",1359,99,10,1152,13,85,,
"Hoteles y restaurantes (034)",369,145,48,135,12,29,,
"Trans., almac. y comunicaciones (035)",1106,223,171,686,8,18,,
"Intermediación financiera (036)",48,46,1,1,,,,
"Activid.inmobil., empres. y alquileres (037)",615,407,14,175,11,8,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",1563,1256,307,,,,,
"Enseñanza (039)",1859,1802,7,45,1,4,,
"Servicios sociales y de salud (040)",316,290,3,22,1,,,
"Otras activ. serv.comun.soc y personales (041)",319,129,9,169,6,6,,
"Hogares privados con servicio doméstico (042)",26,,,,,,26,
"Actividad economica no especificada (044)",490,94,172,139,2,83,,
"Desocupado (045)",2364,,,,,,,2364
"Mujeres (046)",18105,3530,447,6434,89,6249,402,954
"Agric., ganadería, caza y silvicultura (047)",8559,9,147,2689,27,5687,,
"Pesca (048)",3,,1,1,,1,,
"Explotación de minas y canteras (049)",15,7,8,,,,,
"Industrias manufactureras (050)",1271,10,48,1082,15,116,,
"Suministro de electricidad, gas y agua (051)",5,5,,,,,,
"Construcción (052)",67,11,48,6,,2,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",2210,139,3,1711,25,332,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",22,5,2,10,,5,,
"Comercio al por mayor (055)",57,13,1,30,1,12,,
"Comercio al por menor (056)",2131,121,,1671,24,315,,
"Hoteles y restaurantes (057)",620,117,19,434,17,33,,
"Trans., almac. y comunicaciones (058)",70,43,8,10,2,7,,
"Intermediación financiera (059)",29,29,,,,,,
"Activid.inmobil., empres. y alquileres (060)",196,155,3,29,,9,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",642,538,104,,,,,
"Enseñanza (062)",1718,1648,2,65,,3,,
"Servicios sociales y de salud (063)",663,639,12,12,,,,
"Otras activ. serv.comun.soc y personales (064)",372,98,14,255,1,4,,
"Hogares privados con servicio doméstico (065)",402,,,,,,402,
"Actividad economica no especificada (067)",309,82,30,140,2,55,,
,,,,,,,,
"URBANA (068)",20071,7559,2463,6805,174,996,333,1741
"Agric., ganadería, caza y silvicultura (069)",2205,23,210,1509,30,433,,
"Pesca (070)",11,2,4,1,3,1,,
"Explotación de minas y canteras (071)",629,93,510,23,3,,,
"Industrias manufactureras (072)",938,28,196,631,25,58,,
"Suministro de electricidad, gas y agua (073)",52,38,14,,,,,
"Construcción (074)",1191,83,775,308,16,9,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (075)",3179,220,46,2505,46,362,,
"Venta, mant.y rep. veh.autom.y motoc. (076)",184,16,34,111,8,15,,
"Comercio al por mayor (077)",102,17,7,61,6,11,,
"Comercio al por menor (078)",2893,187,5,2333,32,336,,
"Hoteles y restaurantes (079)",880,237,58,506,24,55,,
"Trans., almac. y comunicaciones (080)",931,245,118,540,9,19,,
"Intermediación financiera (081)",76,74,1,1,,,,
"Activid.inmobil., empres. y alquileres (082)",768,529,13,203,8,15,,
"Admin.pub. y defensa; p. segur.soc.afil (083)",1983,1678,305,,,,,
"Enseñanza (084)",3236,3137,9,84,1,5,,
"Servicios sociales y de salud (085)",869,825,14,29,1,,,
"Otras activ. serv.comun.soc y personales (086)",603,219,20,349,7,8,,
"Hogares privados con servicio doméstico (087)",333,,,,,,333,
"Actividad economica no especificada (089)",446,128,170,116,1,31,,
"Desocupado (090)",1741,,,,,,,1741
"Hombres (091)",12130,4266,2163,4036,117,367,18,1163
"Agric., ganadería, caza y silvicultura (092)",1618,15,164,1227,24,188,,
"Pesca (093)",10,2,3,1,3,1,,
"Explotación de minas y canteras (094)",617,86,505,23,3,,,
"Industrias manufactureras (095)",662,18,156,442,17,29,,
"Suministro de electricidad, gas y agua (096)",47,33,14,,,,,
"Construcción (097)",1145,72,745,304,16,8,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (098)",1245,99,43,1005,22,76,,
"Venta, mant.y rep. veh.autom.y motoc. (099)",164,11,32,103,8,10,,
"Comercio al por mayor (100)",51,6,6,34,5,,,
"Comercio al por menor (101)",1030,82,5,868,9,66,,
"Hoteles y restaurantes (102)",324,133,42,113,9,27,,
"Trans., almac. y comunicaciones (103)",863,204,110,530,7,12,,
"Intermediación financiera (104)",47,45,1,1,,,,
"Activid.inmobil., empres. y alquileres (105)",584,385,10,174,8,7,,
"Admin.pub. y defensa; p. segur.soc.afil (106)",1368,1161,207,,,,,
"Enseñanza (107)",1620,1575,7,34,1,3,,
"Servicios sociales y de salud (108)",271,248,3,19,1,,,
"Otras activ. serv.comun.soc y personales (109)",253,124,8,111,6,4,,
"Hogares privados con servicio doméstico (110)",18,,,,,,18,
"Actividad economica no especificada (112)",275,66,145,52,,12,,
"Desocupado (113)",1163,,,,,,,1163
