"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CAMANA (000)",22182,15670,3023,1972,1517
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",52,2,9,16,25
"Profes., científicos e intelectuales (002)",1372,396,199,494,283
"Técnicos de nivel medio y trab. asimilados (003)",877,512,100,77,188
"Jefes y empleados de oficina (004)",674,197,109,104,264
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",3089,2802,177,62,48
"Agricult.trabaj.calif.agrop.y pesqueros (006)",2198,1922,229,42,5
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",3088,2552,436,43,57
"Obreros construc.,conf.,papel, fab., instr. (008)",1982,1578,175,139,90
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",8197,5388,1544,980,285
"Otra (010)",263,,,,263
"Ocupación no especificada (011)",390,321,45,15,9
"Hombres (012)",14895,10726,2081,1104,984
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",26,2,2,8,14
"Profes., científicos e intelectuales (014)",579,185,85,185,124
"Técnicos de nivel medio y trab. asimilados (015)",526,325,65,54,82
"Jefes y empleados de oficina (016)",292,77,45,41,129
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1137,974,83,45,35
"Agricult.trabaj.calif.agrop.y pesqueros (018)",1982,1752,185,40,5
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",2773,2266,418,36,53
"Obreros construc.,conf.,papel, fab., instr. (020)",1925,1528,173,138,86
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",5260,3502,993,549,216
"Otra (022)",234,,,,234
"Ocupación no especificada (023)",161,115,32,8,6
"Mujeres (024)",7287,4944,942,868,533
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",26,,7,8,11
"Profes., científicos e intelectuales (026)",793,211,114,309,159
"Técnicos de nivel medio y trab. asimilados (027)",351,187,35,23,106
"Jefes y empleados de oficina (028)",382,120,64,63,135
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1952,1828,94,17,13
"Agricult.trabaj.calif.agrop.y pesqueros (030)",216,170,44,2,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",315,286,18,7,4
"Obreros construc.,conf.,papel, fab., instr. (032)",57,50,2,1,4
