"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia ANTONIO RAYMONDI (000)",14535,4242,3716,2589,2391,1597
"Sin nivel (001)",2182,118,121,335,737,871
"Educación inicial (002)",343,331,7,5,,
"Primaria (003)",6817,3233,872,1003,1063,646
"Secundaria (004)",4034,560,2297,795,334,48
"Superior no univ. incompleta (005)",272,,172,70,22,8
"Superior no univ. completa (006)",410,,139,185,80,6
"Superior univ. incompleta (007)",128,,53,40,31,4
"Superior univ. completa (008)",349,,55,156,124,14
"PEA (010)",3767,19,1185,1222,990,351
"Sin nivel (011)",311,1,22,63,136,89
"Educación inicial (012)",5,1,2,2,,
"Primaria (013)",1352,14,265,375,471,227
"Secundaria (014)",1289,3,647,431,184,24
"Superior no univ. incompleta (015)",143,,79,46,16,2
"Superior no univ. completa (016)",302,,92,147,62,1
"Superior univ. incompleta (017)",92,,34,31,26,1
"Superior univ. completa (018)",273,,44,127,95,7
"Ocupada (020)",3281,15,973,1077,901,315
"Sin nivel (021)",276,,19,55,122,80
"Educación inicial (022)",3,1,,2,,
"Primaria (023)",1158,12,212,318,415,201
"Secundaria (024)",1091,2,525,372,169,23
"Superior no univ. incompleta (025)",128,,69,43,14,2
"Superior no univ. completa (026)",278,,78,138,61,1
"Superior univ. incompleta (027)",88,,33,29,25,1
"Superior univ. completa (028)",259,,37,120,95,7
"Desocupada (030)",486,4,212,145,89,36
"Sin nivel (031)",35,1,3,8,14,9
"Educación inicial (032)",2,,2,,,
