"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CELENDIN (000)",23866,21110,1323,624,809
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",54,2,9,3,40
"Profes., científicos e intelectuales (002)",1780,581,540,329,330
"Técnicos de nivel medio y trab. asimilados (003)",304,184,29,26,65
"Jefes y empleados de oficina (004)",300,63,43,43,151
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1502,1420,50,17,15
"Agricult.trabaj.calif.agrop.y pesqueros (006)",9970,9793,177,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1379,1290,46,29,14
"Obreros construc.,conf.,papel, fab., instr. (008)",1132,971,82,49,30
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",6636,6083,313,113,127
"Otra (010)",29,,,,29
"Ocupación no especificada (011)",780,723,34,15,8
"Hombres (012)",18144,16328,903,408,505
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",45,1,5,1,38
"Profes., científicos e intelectuales (014)",889,261,295,172,161
"Técnicos de nivel medio y trab. asimilados (015)",202,125,21,21,35
"Jefes y empleados de oficina (016)",157,33,18,20,86
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",558,519,18,10,11
"Agricult.trabaj.calif.agrop.y pesqueros (018)",9620,9459,161,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",568,504,32,21,11
"Obreros construc.,conf.,papel, fab., instr. (020)",828,671,80,49,28
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",4944,4488,251,103,102
"Otra (022)",28,,,,28
"Ocupación no especificada (023)",305,267,22,11,5
"Mujeres (024)",5722,4782,420,216,304
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",9,1,4,2,2
"Profes., científicos e intelectuales (026)",891,320,245,157,169
"Técnicos de nivel medio y trab. asimilados (027)",102,59,8,5,30
"Jefes y empleados de oficina (028)",143,30,25,23,65
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",944,901,32,7,4
"Agricult.trabaj.calif.agrop.y pesqueros (030)",350,334,16,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",811,786,14,8,3
"Obreros construc.,conf.,papel, fab., instr. (032)",304,300,2,,2
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",1692,1595,62,10,25
