"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ISLAY (000)",22701,145,6241,8480,6430,1405
"Agric., ganadería, caza y silvicultura (001)",6483,64,1788,2257,1875,499
"Pesca (002)",1034,2,282,485,242,23
"Explotación de minas y canteras (003)",216,,83,93,39,1
"Industrias manufactureras (004)",1155,6,337,382,384,46
"Suministro de electricidad, gas y agua (005)",58,,9,21,24,4
"Construcción (006)",1047,6,271,425,311,34
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3340,19,887,1238,998,198
"Venta, mant.y rep. veh.autom.y motoc. (008)",530,1,207,195,116,11
"Comercio al por mayor (009)",168,2,55,69,36,6
"Comercio al por menor (010)",2642,16,625,974,846,181
"Hoteles y restaurantes (011)",1033,13,295,343,337,45
"Trans., almac. y comunicaciones (012)",2014,6,581,849,522,56
"Intermediación financiera (013)",69,,24,26,19,
"Activid.inmobil., empres. y alquileres (014)",873,,256,394,200,23
"Admin.pub. y defensa; p. segur.soc afil (015)",725,,149,308,255,13
"Enseñanza (016)",913,,165,514,222,12
"Servicios sociales y de salud (017)",292,,60,117,109,6
"Otras activ. serv.comun.soc y personales (018)",942,8,187,281,285,181
"Hogares privados con servicio doméstico (019)",378,14,152,126,78,8
"Actividad economica no especificada (021)",699,,122,162,210,205
"Desocupado (022)",1430,7,593,459,320,51
"Hombres (023)",14643,97,3910,5332,4278,1026
"Agric., ganadería, caza y silvicultura (024)",4279,47,1087,1422,1320,403
"Pesca (025)",1001,2,269,471,237,22
"Explotación de minas y canteras (026)",212,,81,93,37,1
"Industrias manufactureras (027)",906,6,272,287,302,39
"Suministro de electricidad, gas y agua (028)",54,,7,21,22,4
"Construcción (029)",1009,6,254,409,306,34
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",1450,10,444,512,391,93
"Venta, mant.y rep. veh.autom.y motoc. (031)",488,1,185,183,109,10
"Comercio al por mayor (032)",93,2,29,41,17,4
"Comercio al por menor (033)",869,7,230,288,265,79
"Hoteles y restaurantes (034)",284,6,105,86,78,9
"Trans., almac. y comunicaciones (035)",1786,6,482,749,495,54
"Intermediación financiera (036)",31,,7,12,12,
"Activid.inmobil., empres. y alquileres (037)",650,,166,297,166,21
"Admin.pub. y defensa; p. segur.soc afil (038)",535,,98,228,199,10
"Enseñanza (039)",304,,53,144,100,7
"Servicios sociales y de salud (040)",99,,16,36,42,5
