"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SAN ANTONIO DE PUTINA (000)",50282,33473,16809
"Casa independiente (001)",37374,30120,7254
"Departamento en edificio (002)",59,59,
"Vivienda en quinta (003)",87,87,
"Vivienda en casa de vecindad (004)",920,920,
"Choza o cabaña (005)",9480,,9480
"Vivienda improvisada (006)",1502,1502,
"Local no dest.para hab. humana (007)",52,42,10
"Otro tipo (008)",808,743,65
