"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia HUANCANE (000)",23192,393,5397,6691,7110,3601
"Agric., ganadería, caza y silvicultura (001)",16264,303,3308,4230,5286,3137
"Pesca (002)",101,1,20,51,23,6
"Explotación de minas y canteras (003)",101,,57,32,10,2
"Industrias manufactureras (004)",822,11,304,235,185,87
"Suministro de electricidad, gas y agua (005)",22,,10,7,5,
"Construcción (006)",686,4,172,242,218,50
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1753,33,538,576,464,142
"Venta, mant.y rep. veh.autom.y motoc. (008)",73,,40,20,10,3
"Comercio al por mayor (009)",99,2,30,30,32,5
"Comercio al por menor (010)",1581,31,468,526,422,134
"Hoteles y restaurantes (011)",315,10,123,94,71,17
"Trans., almac. y comunicaciones (012)",500,6,175,186,118,15
"Intermediación financiera (013)",11,,5,3,2,1
"Activid.inmobil., empres. y alquileres (014)",116,,48,44,24,
"Admin.pub. y defensa; p. segur.soc.afil (015)",516,,158,218,130,10
"Enseñanza (016)",941,,128,468,335,10
"Servicios sociales y de salud (017)",202,,42,88,64,8
"Otras activ. serv.comun.soc y personales (018)",143,9,63,42,21,8
"Hogares privados con servicio doméstico (019)",168,15,69,40,33,11
"Actividad economica no especificada (021)",531,1,177,135,121,97
"Hombres (022)",13463,201,2990,3900,4213,2159
"Agric., ganadería, caza y silvicultura (023)",9177,157,1761,2372,3017,1870
"Pesca (024)",96,1,19,48,22,6
"Explotación de minas y canteras (025)",99,,56,32,9,2
"Industrias manufactureras (026)",438,4,193,106,89,46
"Suministro de electricidad, gas y agua (027)",21,,10,6,5,
"Construcción (028)",666,4,166,232,215,49
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",765,15,213,243,205,89
"Venta, mant.y rep. veh.autom.y motoc. (030)",64,,34,20,7,3
"Comercio al por mayor (031)",48,1,11,16,17,3
"Comercio al por menor (032)",653,14,168,207,181,83
"Hoteles y restaurantes (033)",64,2,29,14,13,6
"Trans., almac. y comunicaciones (034)",476,5,161,179,116,15
"Intermediación financiera (035)",9,,5,2,2,
"Activid.inmobil., empres. y alquileres (036)",96,,40,35,21,
"Admin.pub. y defensa; p. segur.soc.afil (037)",403,,108,174,112,9
"Enseñanza (038)",700,,75,325,291,9
"Servicios sociales y de salud (039)",100,,15,44,36,5
"Otras activ. serv.comun.soc y personales (040)",100,6,45,28,15,6
