"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PACASMAYO (000)",31502,19847,4711,3845,3099
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",53,2,10,18,23
"Profes., científicos e intelectuales (002)",2448,648,510,847,443
"Técnicos de nivel medio y trab. asimilados (003)",1225,606,160,175,284
"Jefes y empleados de oficina (004)",1118,346,160,181,431
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",4294,3713,286,116,179
"Agricult.trabaj.calif.agrop.y pesqueros (006)",2392,1915,371,71,35
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",2501,1652,270,275,304
"Obreros construc.,conf.,papel, fab., instr. (008)",4005,2869,504,275,357
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",12247,7424,2301,1762,760
"Otra (010)",199,,,,199
"Ocupación no especificada (011)",1020,672,139,125,84
"Hombres (012)",22765,13975,3721,2777,2292
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",36,1,7,12,16
"Profes., científicos e intelectuales (014)",1164,317,208,406,233
"Técnicos de nivel medio y trab. asimilados (015)",865,431,125,136,173
"Jefes y empleados de oficina (016)",504,124,68,100,212
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1952,1522,176,97,157
"Agricult.trabaj.calif.agrop.y pesqueros (018)",2207,1776,337,64,30
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",2253,1450,253,263,287
"Obreros construc.,conf.,papel, fab., instr. (020)",3937,2816,498,273,350
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",8989,5128,1950,1334,577
"Otra (022)",193,,,,193
"Ocupación no especificada (023)",665,410,99,92,64
"Mujeres (024)",8737,5872,990,1068,807
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",17,1,3,6,7
"Profes., científicos e intelectuales (026)",1284,331,302,441,210
"Técnicos de nivel medio y trab. asimilados (027)",360,175,35,39,111
"Jefes y empleados de oficina (028)",614,222,92,81,219
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",2342,2191,110,19,22
"Agricult.trabaj.calif.agrop.y pesqueros (030)",185,139,34,7,5
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",248,202,17,12,17
"Obreros construc.,conf.,papel, fab., instr. (032)",68,53,6,2,7
