"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PIURA (000)",226138,156020,21925,20529,27664
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",514,40,116,167,191
"Profes., científicos e intelectuales (002)",22647,5760,3579,6671,6637
"Técnicos de nivel medio y trab. asimilados (003)",14387,6278,1831,2449,3829
"Jefes y empleados de oficina (004)",11903,2557,1494,2495,5357
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",38606,32651,2920,1916,1119
"Agricult.trabaj.calif.agrop.y pesqueros (006)",22206,20670,1346,99,91
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",17039,12502,1460,1010,2067
"Obreros construc.,conf.,papel, fab., instr. (008)",25943,20674,2278,1581,1410
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",65707,50846,6365,3709,4787
"Otra (010)",1712,,,,1712
"Ocupación no especificada (011)",5474,4042,536,432,464
"Hombres (012)",153613,107541,16070,12501,17501
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",347,29,62,110,146
"Profes., científicos e intelectuales (014)",10811,2927,1614,2687,3583
"Técnicos de nivel medio y trab. asimilados (015)",8622,3919,1149,1495,2059
"Jefes y empleados de oficina (016)",5792,1062,686,1242,2802
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",18506,14432,1838,1323,913
"Agricult.trabaj.calif.agrop.y pesqueros (018)",21343,19885,1291,93,74
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",13405,9878,1330,797,1400
"Obreros construc.,conf.,papel, fab., instr. (020)",25160,20109,2231,1490,1330
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",45375,33582,5503,2987,3303
"Otra (022)",1594,,,,1594
"Ocupación no especificada (023)",2658,1718,366,277,297
"Mujeres (024)",72525,48479,5855,8028,10163
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",167,11,54,57,45
"Profes., científicos e intelectuales (026)",11836,2833,1965,3984,3054
"Técnicos de nivel medio y trab. asimilados (027)",5765,2359,682,954,1770
"Jefes y empleados de oficina (028)",6111,1495,808,1253,2555
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",20100,18219,1082,593,206
"Agricult.trabaj.calif.agrop.y pesqueros (030)",863,785,55,6,17
