"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia JULCAN (000)",8808,233,3019,2802,1938,816
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",8,,2,6,,
"Profes., científicos e intelectuales (002)",340,,103,158,66,13
"Técnicos de nivel medio y trab.asimilados (003)",36,,15,15,6,
"Jefes y empleados de oficina (004)",48,,23,13,12,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",243,5,54,98,74,12
"Agricult.trabaj. calif. agrop. y pesqueros (006)",4905,34,1199,1736,1318,618
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",83,,25,29,23,6
"Obreros construc., conf., papel, fab., instr. (008)",96,2,30,43,18,3
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",1715,134,1026,333,168,54
"Otra (010)",13,,1,8,4,
"Ocupación no especificada (011)",386,,116,130,97,43
"Desocupado (012)",935,58,425,233,152,67
"Hombres (013)",7766,190,2617,2458,1742,759
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",6,,2,4,,
"Profes., científicos e intelectuales (015)",134,,33,65,35,1
"Técnicos de nivel medio y trab.asimilados (016)",24,,11,9,4,
"Jefes y empleados de oficina (017)",30,,9,10,11,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",107,1,25,40,34,7
"Agricult.trabaj. calif. agrop. y pesqueros (019)",4845,33,1187,1707,1305,613
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",79,,24,27,23,5
"Obreros construc., conf., papel, fab., instr. (021)",96,2,30,43,18,3
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",1492,124,924,279,119,46
"Otra (023)",12,,1,7,4,
"Ocupación no especificada (024)",163,,45,54,44,20
"Desocupado (025)",778,30,326,213,145,64
"Mujeres (026)",1042,43,402,344,196,57
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",2,,,2,,
"Profes., científicos e intelectuales (028)",206,,70,93,31,12
"Técnicos de nivel medio y trab.asimilados (029)",12,,4,6,2,
"Jefes y empleados de oficina (030)",18,,14,3,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",136,4,29,58,40,5
"Agricult.trabaj. calif. agrop. y pesqueros (032)",60,1,12,29,13,5
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",4,,1,2,,1
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (035)",223,10,102,54,49,8
"Otra (036)",1,,,1,,
