"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia ANDAHUAYLAS (000)",35330,142511,15527,63451,19803,79060
"Casa independiente (001)",34100,138536,14807,60968,19293,77568
"Departamento en edificio (002)",227,747,227,747,,
"Vivienda en quinta (003)",128,478,128,478,,
"Vivienda en casa de vecindad (004)",309,1066,309,1066,,
"Choza o cabaña (005)",506,1468,,,506,1468
"Vivienda improvisada (006)",33,118,33,118,,
"Local no dest.para hab. humana (007)",20,85,16,61,4,24
"Otro tipo (008)",7,13,7,13,,
