"CUADRO Nº 27: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CHACHAPOYAS (000)",18809,4705,2356,8257,467,2336,688
"Sin nivel (001)",935,13,120,518,19,209,56
"Educación inicial (002)",16,,1,5,,10,
"Primaria (003)",8086,218,1226,4679,176,1438,349
"Secundaria (004)",4587,762,804,2056,154,573,238
"Superior no univ. incompleta (005)",647,298,71,206,16,32,24
"Superior no univ. completa (006)",2436,1822,89,428,36,43,18
"Superior univ. incompleta (007)",502,313,25,127,17,18,2
"Superior univ. completa (008)",1600,1279,20,238,49,13,1
"Hombres (010)",12213,2470,2039,6073,363,1247,21
"Sin nivel (011)",447,3,82,279,12,70,1
"Educación inicial (012)",8,,1,3,,4,
"Primaria (013)",5643,112,1041,3581,136,764,9
"Secundaria (014)",3266,506,733,1536,123,360,8
"Superior no univ. incompleta (015)",402,164,62,142,15,18,1
"Superior no univ. completa (016)",1174,786,76,267,28,16,1
"Superior univ. incompleta (017)",297,164,25,85,12,10,1
"Superior univ. completa (018)",976,735,19,180,37,5,
"Mujeres (020)",6596,2235,317,2184,104,1089,667
"Sin nivel (021)",488,10,38,239,7,139,55
"Educación inicial (022)",8,,,2,,6,
"Primaria (023)",2443,106,185,1098,40,674,340
"Secundaria (024)",1321,256,71,520,31,213,230
"Superior no univ. incompleta (025)",245,134,9,64,1,14,23
"Superior no univ. completa (026)",1262,1036,13,161,8,27,17
"Superior univ. incompleta (027)",205,149,,42,5,8,1
"Superior univ. completa (028)",624,544,1,58,12,8,1
,,,,,,,
"URBANA (030)",13012,4473,1623,4893,384,1055,584
"Sin nivel (031)",388,9,49,210,9,69,42
"Educación inicial (032)",6,,,2,,4,
"Primaria (033)",4137,198,718,2274,120,548,279
"Secundaria (034)",3594,722,671,1498,138,346,219
"Superior no univ. incompleta (035)",581,271,63,184,16,23,24
"Superior no univ. completa (036)",2282,1728,81,383,35,38,17
"Superior univ. incompleta (037)",479,304,22,118,17,16,2
"Superior univ. completa (038)",1545,1241,19,224,49,11,1
"Hombres (040)",7806,2347,1415,3256,294,476,18
"Sin nivel (041)",137,2,31,75,6,23,
"Educación inicial (042)",2,,,1,,1,
"Primaria (043)",2555,99,609,1533,89,217,8
"Secundaria (044)",2451,483,611,1046,108,196,7
"Superior no univ. incompleta (045)",360,154,55,122,15,13,1
"Superior no univ. completa (046)",1081,738,69,233,27,13,1
"Superior univ. incompleta (047)",282,160,22,78,12,9,1
"Superior univ. completa (048)",938,711,18,168,37,4,
"Mujeres (050)",5206,2126,208,1637,90,579,566
"Sin nivel (051)",251,7,18,135,3,46,42
"Educación inicial (052)",4,,,1,,3,
"Primaria (053)",1582,99,109,741,31,331,271
"Secundaria (054)",1143,239,60,452,30,150,212
"Superior no univ. incompleta (055)",221,117,8,62,1,10,23
"Superior no univ. completa (056)",1201,990,12,150,8,25,16
"Superior univ. incompleta (057)",197,144,,40,5,7,1
"Superior univ. completa (058)",607,530,1,56,12,7,1
,,,,,,,
"RURAL (060)",5797,232,733,3364,83,1281,104
"Sin nivel (061)",547,4,71,308,10,140,14
"Educación inicial (062)",10,,1,3,,6,
"Primaria (063)",3949,20,508,2405,56,890,70
"Secundaria (064)",993,40,133,558,16,227,19
"Superior no univ. incompleta (065)",66,27,8,22,,9,
"Superior no univ. completa (066)",154,94,8,45,1,5,1
"Superior univ. incompleta (067)",23,9,3,9,,2,
"Superior univ. completa (068)",55,38,1,14,,2,
"Hombres (070)",4407,123,624,2817,69,771,3
"Sin nivel (071)",310,1,51,204,6,47,1
"Educación inicial (072)",6,,1,2,,3,
"Primaria (073)",3088,13,432,2048,47,547,1
"Secundaria (074)",815,23,122,490,15,164,1
"Superior no univ. incompleta (075)",42,10,7,20,,5,
"Superior no univ. completa (076)",93,48,7,34,1,3,
"Superior univ. incompleta (077)",15,4,3,7,,1,
"Superior univ. completa (078)",38,24,1,12,,1,
"Mujeres (080)",1390,109,109,547,14,510,101
"Sin nivel (081)",237,3,20,104,4,93,13
"Educación inicial (082)",4,,,1,,3,
"Primaria (083)",861,7,76,357,9,343,69
"Secundaria (084)",178,17,11,68,1,63,18
"Superior no univ. incompleta (085)",24,17,1,2,,4,
"Superior no univ. completa (086)",61,46,1,11,,2,1
"Superior univ. incompleta (087)",8,5,,2,,1,
"Superior univ. completa (088)",17,14,,2,,1,
