"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"Provincia CARLOS FERMIN FITZCARRALD (000)",21322,10304,11018,3403,1668,1735,17919,8636,9283
"Menores de 1 año (001)",480,258,222,77,43,34,403,215,188
"Menores de 1 mes (002)",29,18,11,5,5,,24,13,11
"De 1 a 11 meses (003)",451,240,211,72,38,34,379,202,177
"De 1 a 4 años (004)",2133,1030,1103,312,149,163,1821,881,940
"1 año (005)",513,251,262,72,35,37,441,216,225
"2 años (006)",568,264,304,91,39,52,477,225,252
"3 años (007)",513,243,270,64,35,29,449,208,241
"4 años (008)",539,272,267,85,40,45,454,232,222
"De 5 a 9 años (009)",2739,1347,1392,371,180,191,2368,1167,1201
"5 años (010)",508,244,264,70,41,29,438,203,235
"6 años (011)",512,255,257,66,29,37,446,226,220
"7 años (012)",575,303,272,77,36,41,498,267,231
"8 años (013)",579,271,308,81,34,47,498,237,261
"9 años (014)",565,274,291,77,40,37,488,234,254
"De 10 a 14 años (015)",3049,1565,1484,406,212,194,2643,1353,1290
"10 años (016)",598,287,311,75,35,40,523,252,271
"11 años (017)",607,336,271,87,48,39,520,288,232
"12 años (018)",668,355,313,82,39,43,586,316,270
"13 años (019)",603,297,306,80,44,36,523,253,270
"14 años (020)",573,290,283,82,46,36,491,244,247
"De 15 a 19 años (021)",2176,1067,1109,308,152,156,1868,915,953
"15 años (022)",498,227,271,68,33,35,430,194,236
"16 años (023)",450,240,210,67,39,28,383,201,182
"17 años (024)",475,229,246,62,29,33,413,200,213
"18 años (025)",436,220,216,60,34,26,376,186,190
"19 años (026)",317,151,166,51,17,34,266,134,132
"De 20 a 24 años (027)",1441,687,754,265,112,153,1176,575,601
"20 años (028)",331,160,171,53,23,30,278,137,141
"21 años (029)",236,115,121,42,14,28,194,101,93
"22 años (030)",284,134,150,49,17,32,235,117,118
"23 años (031)",291,137,154,55,24,31,236,113,123
"24 años (032)",299,141,158,66,34,32,233,107,126
"De 25 a 29 años (033)",1405,701,704,303,151,152,1102,550,552
"25 años (034)",296,142,154,65,31,34,231,111,120
"26 años (035)",294,136,158,68,33,35,226,103,123
"27 años (036)",273,132,141,53,23,30,220,109,111
"28 años (037)",300,159,141,74,42,32,226,117,109
"29 años (038)",242,132,110,43,22,21,199,110,89
"De 30 a 34 años (039)",1253,590,663,285,131,154,968,459,509
"30 años (040)",341,158,183,77,37,40,264,121,143
"31 años (041)",206,95,111,46,17,29,160,78,82
"32 años (042)",239,120,119,54,28,26,185,92,93
"33 años (043)",271,125,146,62,31,31,209,94,115
"34 años (044)",196,92,104,46,18,28,150,74,76
"De 35 a 39 años (045)",1085,523,562,210,108,102,875,415,460
"35 años (046)",209,92,117,42,17,25,167,75,92
