"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PIURA (000)",226138,156020,21925,20529,27664
"Agric., ganadería, caza y silvicultura (001)",50898,43061,4568,1586,1683
"Pesca (002)",1488,514,484,189,301
"Explotación de minas y canteras (003)",739,124,91,83,441
"Industrias manufactureras (004)",16018,10040,1348,1383,3247
"Suministro de electricidad, gas y agua (005)",878,231,48,294,305
"Construcción (006)",12312,7818,2356,1542,596
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",46386,40473,3272,2010,631
"Venta, mant.y rep. veh.autom y motoc. (008)",4456,3345,625,334,152
"Comercio al por mayor (009)",3019,1724,342,474,479
"Comercio al por menor (010)",38911,35404,2305,1202,
"Hoteles y restaurantes (011)",10560,8458,1234,673,195
"Trans., almac. y comunicaciones (012)",21763,17638,1496,1472,1157
"Intermediación financiera (013)",1809,207,162,842,598
"Activid.inmobil., empres. y alquileres (014)",13643,6215,1931,2732,2765
"Admin.pub. y defensa; p. segur soc.afil (015)",8074,,,,8074
"Enseñanza (016)",15081,2946,2944,5849,3342
"Servicios sociales y de salud (017)",5147,1188,324,436,3199
"Otras activ. serv.comun.soc y personales (018)",7148,4927,962,804,455
"Hogares privados con servicio doméstico (019)",7800,7800,,,
"Organiz. y organos extraterritoriales (020)",2,,1,,1
"Actividad economica no especificada (021)",6392,4380,704,634,674
"Hombres (022)",153613,107541,16070,12501,17501
"Agric., ganadería, caza y silvicultura (023)",47262,40439,4208,1354,1261
"Pesca (024)",1348,488,466,169,225
"Explotación de minas y canteras (025)",662,121,86,65,390
"Industrias manufactureras (026)",10819,6874,1073,934,1938
"Suministro de electricidad, gas y agua (027)",773,209,43,260,261
"Construcción (028)",11952,7679,2307,1412,554
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",26075,22171,2129,1299,476
"Venta, mant.y rep. veh.autom y motoc. (030)",4134,3145,562,284,143
"Comercio al por mayor (031)",1921,1040,221,327,333
"Comercio al por menor (032)",20020,17986,1346,688,
"Hoteles y restaurantes (033)",3361,2210,643,387,121
"Trans., almac. y comunicaciones (034)",20507,16871,1334,1278,1024
"Intermediación financiera (035)",1004,120,98,453,333
"Activid.inmobil., empres. y alquileres (036)",9629,4533,1343,1838,1915
"Admin.pub. y defensa; p. segur soc.afil (037)",5507,,,,5507
