"CUADRO Nº 17: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia ATALAYA (000)",12955,1808,3341,3945,248,3402,211
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",27,27,,,,,
"Profes., científicos e intelectuales (002)",879,794,,74,8,3,
"Técnicos de nivel medio y trab. asimilados (003)",250,181,,49,18,2,
"Jefes y empleados de oficina (004)",298,298,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1019,180,30,624,53,132,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",2402,2,10,2267,115,8,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",540,,256,262,20,2,
"Obreros construc.,conf.,papel, fab., instr. (008)",917,42,501,337,25,12,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",6123,137,2382,201,2,3190,211
"Otra (010)",84,84,,,,,
"Ocupación no especificada (011)",416,63,162,131,7,53,
"Hombres (012)",8875,1134,2629,2925,202,1954,31
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",21,21,,,,,
"Profes., científicos e intelectuales (014)",514,464,,40,8,2,
"Técnicos de nivel medio y trab. asimilados (015)",198,142,,40,15,1,
"Jefes y empleados de oficina (016)",179,179,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",435,95,5,288,28,19,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",2023,2,9,1899,106,7,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",487,,245,224,16,2,
"Obreros construc.,conf.,papel, fab., instr. (020)",866,42,477,310,25,12,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",3820,68,1774,56,2,1889,31
"Otra (022)",83,83,,,,,
"Ocupación no especificada (023)",249,38,119,68,2,22,
"Mujeres (024)",4080,674,712,1020,46,1448,180
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",6,6,,,,,
"Profes., científicos e intelectuales (026)",365,330,,34,,1,
"Técnicos de nivel medio y trab. asimilados (027)",52,39,,9,3,1,
"Jefes y empleados de oficina (028)",119,119,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",584,85,25,336,25,113,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",379,,1,368,9,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",53,,11,38,4,,
"Obreros construc.,conf.,papel, fab., instr. (032)",51,,24,27,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",2303,69,608,145,,1301,180
"Otra (034)",1,1,,,,,
"Ocupación no especificada (035)",167,25,43,63,5,31,
,,,,,,,
"URBANA (036)",5393,1502,1326,1880,176,339,170
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",24,24,,,,,
"Profes., científicos e intelectuales (038)",643,582,,52,8,1,
"Técnicos de nivel medio y trab. asimilados (039)",214,153,,45,16,,
"Jefes y empleados de oficina (040)",276,276,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",907,176,20,542,48,121,
"Agricult.trabaj.calif.agrop.y pesqueros (042)",532,2,,474,54,2,
"Obreros y oper.minas,cant.,ind.manuf.y otros (043)",410,,178,212,19,1,
"Obreros construc.,conf.,papel, fab., instr. (044)",831,42,450,307,23,9,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (045)",1280,129,596,194,2,189,170
"Otra (046)",76,76,,,,,
"Ocupación no especificada (047)",200,42,82,54,6,16,
"Hombres (048)",3603,924,1111,1259,140,155,14
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",18,18,,,,,
"Profes., científicos e intelectuales (050)",358,324,,25,8,1,
"Técnicos de nivel medio y trab. asimilados (051)",167,118,,36,13,,
"Jefes y empleados de oficina (052)",158,158,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",384,94,5,244,25,16,
"Agricult.trabaj.calif.agrop.y pesqueros (054)",458,2,,402,52,2,
"Obreros y oper.minas,cant.,ind.manuf.y otros (055)",366,,168,182,15,1,
"Obreros construc.,conf.,papel, fab., instr. (056)",794,42,428,292,23,9,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (057)",697,65,448,51,2,117,14
"Otra (058)",75,75,,,,,
"Ocupación no especificada (059)",128,28,62,27,2,9,
"Mujeres (060)",1790,578,215,621,36,184,156
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",6,6,,,,,
"Profes., científicos e intelectuales (062)",285,258,,27,,,
"Técnicos de nivel medio y trab. asimilados (063)",47,35,,9,3,,
"Jefes y empleados de oficina (064)",118,118,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",523,82,15,298,23,105,
"Agricult.trabaj.calif.agrop.y pesqueros (066)",74,,,72,2,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (067)",44,,10,30,4,,
"Obreros construc.,conf.,papel, fab., instr. (068)",37,,22,15,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (069)",583,64,148,143,,72,156
"Otra (070)",1,1,,,,,
"Ocupación no especificada (071)",72,14,20,27,4,7,
,,,,,,,
"RURAL (072)",7562,306,2015,2065,72,3063,41
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",3,3,,,,,
"Profes., científicos e intelectuales (074)",236,212,,22,,2,
"Técnicos de nivel medio y trab. asimilados (075)",36,28,,4,2,2,
"Jefes y empleados de oficina (076)",22,22,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",112,4,10,82,5,11,
"Agricult.trabaj.calif.agrop.y pesqueros (078)",1870,,10,1793,61,6,
"Obreros y oper.minas,cant.,ind.manuf.y otros (079)",130,,78,50,1,1,
"Obreros construc.,conf.,papel, fab., instr. (080)",86,,51,30,2,3,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (081)",4843,8,1786,7,,3001,41
"Otra (082)",8,8,,,,,
"Ocupación no especificada (083)",216,21,80,77,1,37,
"Hombres (084)",5272,210,1518,1666,62,1799,17
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",3,3,,,,,
"Profes., científicos e intelectuales (086)",156,140,,15,,1,
"Técnicos de nivel medio y trab. asimilados (087)",31,24,,4,2,1,
"Jefes y empleados de oficina (088)",21,21,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",51,1,,44,3,3,
"Agricult.trabaj.calif.agrop.y pesqueros (090)",1565,,9,1497,54,5,
"Obreros y oper.minas,cant.,ind.manuf.y otros (091)",121,,77,42,1,1,
"Obreros construc.,conf.,papel, fab., instr. (092)",72,,49,18,2,3,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (093)",3123,3,1326,5,,1772,17
"Otra (094)",8,8,,,,,
"Ocupación no especificada (095)",121,10,57,41,,13,
"Mujeres (096)",2290,96,497,399,10,1264,24
"Profes., científicos e intelectuales (098)",80,72,,7,,1,
"Técnicos de nivel medio y trab. asimilados (099)",5,4,,,,1,
"Jefes y empleados de oficina (100)",1,1,,,,,
