"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CHINCHEROS (000)",12894,12433,44,1883,1870,1711,2844,2228,1313,540,461,54635
"De 12 a 14 años (001)",20,9,,9,,,,,,,11,9
"De 15 a 19 años (002)",360,310,5,260,42,2,1,,,,50,354
"De 20 a 24 años (003)",1276,1150,5,610,389,116,26,4,,,126,1872
"De 25 a 29 años (004)",1459,1358,3,332,463,342,206,12,,,101,3240
"De 30 a 34 años (005)",1518,1466,3,213,352,369,384,124,19,2,52,4652
"De 35 a 39 años (006)",1501,1468,3,106,188,266,538,288,71,8,33,6204
"De 40 a 44 años (007)",1267,1255,,57,93,159,404,329,176,37,12,6537
"De 45 a 49 años (008)",1084,1074,3,44,55,87,290,308,196,91,10,6322
"De 50 y más años (009)",4409,4343,22,252,288,370,995,1163,851,402,66,25445
"Sin nivel (010)",4795,4689,26,253,340,405,1200,1241,856,368,106,26721
"De 12 a 14 años (011)",1,1,,1,,,,,,,,1
"De 15 a 19 años (012)",6,5,,4,,,1,,,,1,8
"De 20 a 24 años (013)",44,38,1,6,19,7,4,1,,,6,89
"De 25 a 29 años (014)",83,74,1,10,17,19,25,2,,,9,219
"De 30 a 34 años (015)",183,174,1,14,23,34,65,32,5,,9,690
"De 35 a 39 años (016)",320,307,2,15,30,35,121,67,34,3,13,1470
"De 40 a 44 años (017)",398,393,,14,22,21,112,125,81,18,5,2319
"De 45 a 49 años (018)",431,423,2,13,17,15,103,130,99,44,8,2709
"De 50 y más años (019)",3329,3274,19,176,212,274,769,884,637,303,55,19216
"Educacion Inicial (020)",35,32,,6,4,12,7,3,,,3,100
"De 15 a 19 años (022)",3,1,,1,,,,,,,2,1
