"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia PUNO (000)",178516,23832,34733,35796,28459,21786,33910
"Conviviente (001)",34794,354,7082,14252,7998,3160,1948
"Separado(a) (002)",4843,15,355,1062,1343,1027,1041
"Casado(a) (003)",61774,56,1268,9167,15228,14589,21466
"Viudo(a) (004)",9521,4,32,158,515,1182,7630
"Divorciado(a) (005)",823,,23,77,178,217,328
"Soltero(a) (006)",66761,23403,25973,11080,3197,1611,1497
"Hombres (008)",86914,12279,17342,17189,13384,10412,16308
"Conviviente (009)",16669,163,2518,6866,4197,1792,1133
"Separado(a) (010)",1137,5,44,193,288,282,325
"Casado(a) (011)",30301,31,366,3747,7156,7296,11705
"Viudo(a) (012)",2853,3,10,35,113,271,2421
"Divorciado(a) (013)",332,,5,21,64,105,137
"Soltero(a) (014)",35622,12077,14399,6327,1566,666,587
"Mujeres (016)",91602,11553,17391,18607,15075,11374,17602
"Conviviente (017)",18125,191,4564,7386,3801,1368,815
"Separado(a) (018)",3706,10,311,869,1055,745,716
"Casado(a) (019)",31473,25,902,5420,8072,7293,9761
"Viudo(a) (020)",6668,1,22,123,402,911,5209
"Divorciado(a) (021)",491,,18,56,114,112,191
"Soltero(a) (022)",31139,11326,11574,4753,1631,945,910
,,,,,,,
"URBANA (024)",107172,14158,22798,24014,18394,13323,14485
"Conviviente (025)",22721,212,4025,9711,5626,2153,994
"Separado(a) (026)",3450,12,211,780,1019,779,649
"Casado(a) (027)",32286,26,602,5138,9101,8516,8903
"Viudo(a) (028)",3892,1,12,87,274,648,2870
"Divorciado(a) (029)",634,,18,49,143,183,241
"Soltero(a) (030)",44189,13907,17930,8249,2231,1044,828
"Hombres (032)",51998,7218,11447,11390,8512,6435,6996
"Conviviente (033)",10886,111,1457,4520,2928,1264,606
"Separado(a) (034)",799,4,32,143,208,209,203
"Casado(a) (035)",15797,15,185,2032,4225,4321,5019
"Viudo(a) (036)",956,1,6,18,43,125,763
"Divorciado(a) (037)",254,,5,10,51,87,101
"Soltero(a) (038)",23306,7087,9762,4667,1057,429,304
"Mujeres (040)",55174,6940,11351,12624,9882,6888,7489
"Conviviente (041)",11835,101,2568,5191,2698,889,388
"Separado(a) (042)",2651,8,179,637,811,570,446
"Casado(a) (043)",16489,11,417,3106,4876,4195,3884
"Viudo(a) (044)",2936,,6,69,231,523,2107
"Divorciado(a) (045)",380,,13,39,92,96,140
"Soltero(a) (046)",20883,6820,8168,3582,1174,615,524
,,,,,,,
"RURAL (048)",71344,9674,11935,11782,10065,8463,19425
"Conviviente (049)",12073,142,3057,4541,2372,1007,954
"Separado(a) (050)",1393,3,144,282,324,248,392
"Casado(a) (051)",29488,30,666,4029,6127,6073,12563
"Viudo(a) (052)",5629,3,20,71,241,534,4760
"Divorciado(a) (053)",189,,5,28,35,34,87
"Soltero(a) (054)",22572,9496,8043,2831,966,567,669
"Hombres (056)",34916,5061,5895,5799,4872,3977,9312
"Conviviente (057)",5783,52,1061,2346,1269,528,527
"Separado(a) (058)",338,1,12,50,80,73,122
"Casado(a) (059)",14504,16,181,1715,2931,2975,6686
"Viudo(a) (060)",1897,2,4,17,70,146,1658
"Divorciado(a) (061)",78,,,11,13,18,36
"Soltero(a) (062)",12316,4990,4637,1660,509,237,283
"Mujeres (064)",36428,4613,6040,5983,5193,4486,10113
"Conviviente (065)",6290,90,1996,2195,1103,479,427
"Separado(a) (066)",1055,2,132,232,244,175,270
"Casado(a) (067)",14984,14,485,2314,3196,3098,5877
"Viudo(a) (068)",3732,1,16,54,171,388,3102
"Divorciado(a) (069)",111,,5,17,22,16,51
"Soltero(a) (070)",10256,4506,3406,1171,457,330,386
