"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CAMANA (000)",47222,9071,14387,11803,8729,3232
"Sin nivel (001)",2303,147,146,564,770,676
"Educación inicial (002)",795,745,36,14,,
"Primaria (003)",13714,5973,1241,2310,2717,1473
"Secundaria (004)",16988,2206,7550,4263,2501,468
"Superior no univ. incompleta (005)",3604,,2055,976,472,101
"Superior no univ. completa (006)",4288,,1448,1792,858,190
"Superior univ. incompleta (007)",2139,,1208,492,380,59
"Superior univ. completa (008)",3391,,703,1392,1031,265
"PEA (010)",23206,180,7405,8598,5893,1130
"Sin nivel (011)",929,4,58,321,391,155
"Educación inicial (012)",30,2,21,7,,
"Primaria (013)",4657,89,696,1555,1769,548
"Secundaria (014)",8932,85,3762,3110,1777,198
"Superior no univ. incompleta (015)",2038,,915,733,348,42
"Superior no univ. completa (016)",3063,,1057,1346,586,74
"Superior univ. incompleta (017)",1095,,403,386,285,21
"Superior univ. completa (018)",2462,,493,1140,737,92
"Ocupada (020)",22182,171,6957,8262,5698,1094
"Sin nivel (021)",885,4,53,301,380,147
"Educación inicial (022)",27,2,19,6,,
"Primaria (023)",4422,83,657,1474,1675,533
"Secundaria (024)",8528,82,3551,2978,1725,192
"Superior no univ. incompleta (025)",1941,,846,717,340,38
"Superior no univ. completa (026)",2940,,984,1309,574,73
"Superior univ. incompleta (027)",1051,,379,372,279,21
"Superior univ. completa (028)",2388,,468,1105,725,90
"Desocupada (030)",1024,9,448,336,195,36
