"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia OCROS (000)",3639,48,1033,1105,1055,398
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",27,,6,10,10,1
"Profes., científicos e intelectuales (002)",194,,43,102,43,6
"Técnicos de nivel medio y trab.asimilados (003)",52,,13,19,18,2
"Jefes y empleados de oficina (004)",58,,21,30,7,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",372,2,96,126,117,31
"Agricult.trabaj. calif. agrop. y pesqueros (006)",1193,3,203,334,437,216
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",110,,41,34,32,3
"Obreros construc., conf., papel, fab., instr. (008)",162,,53,51,53,5
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",1261,41,483,338,286,113
"Otra (010)",7,,1,4,2,
"Ocupación no especificada (011)",92,,21,25,31,15
"Desocupado (012)",111,2,52,32,19,6
"Hombres (013)",2699,33,772,779,799,316
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",19,,5,7,6,1
"Profes., científicos e intelectuales (015)",97,,13,52,27,5
"Técnicos de nivel medio y trab.asimilados (016)",42,,8,15,17,2
"Jefes y empleados de oficina (017)",30,,8,18,4,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",125,,29,30,49,17
"Agricult.trabaj. calif. agrop. y pesqueros (019)",1065,3,180,304,389,189
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",89,,35,24,27,3
"Obreros construc., conf., papel, fab., instr. (021)",158,,51,51,51,5
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",938,28,388,241,200,81
"Otra (023)",7,,1,4,2,
"Ocupación no especificada (024)",36,,13,6,10,7
"Desocupado (025)",93,2,41,27,17,6
"Mujeres (026)",940,15,261,326,256,82
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",8,,1,3,4,
"Profes., científicos e intelectuales (028)",97,,30,50,16,1
"Técnicos de nivel medio y trab.asimilados (029)",10,,5,4,1,
"Jefes y empleados de oficina (030)",28,,13,12,3,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",247,2,67,96,68,14
"Agricult.trabaj. calif. agrop. y pesqueros (032)",128,,23,30,48,27
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",21,,6,10,5,
"Obreros construc., conf., papel, fab., instr. (034)",4,,2,,2,
