"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia JORGE BASADRE",,,,,,
"Viviendas particulares (001)",3171,3065,87,14,4,1
"Ocupantes presentes (002)",9239,8424,588,149,59,19
"Casa independiente",,,,,,
"Viviendas particulares (004)",1824,1726,80,14,4,
"Ocupantes presentes (005)",6129,5381,540,149,59,
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",745,745,,,,
"Ocupantes presentes (008)",1662,1662,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",25,25,,,,
"Ocupantes presentes (011)",51,51,,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",138,134,4,,,
"Ocupantes presentes (014)",301,272,29,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",402,398,3,,,1
"Ocupantes presentes (017)",973,935,19,,,19
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",19,19,,,,
"Ocupantes presentes (020)",74,74,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",16,16,,,,
"Ocupantes presentes (023)",45,45,,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",2,2,,,,
"Ocupantes presentes (026)",4,4,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",1897,1816,65,12,4,
"Ocupantes presentes (029)",5631,5004,443,125,59,
"Casa independiente",,,,,,
"Viviendas particulares (031)",961,884,61,12,4,
"Ocupantes presentes (032)",3518,2920,414,125,59,
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",745,745,,,,
"Ocupantes presentes (035)",1662,1662,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",25,25,,,,
"Ocupantes presentes (038)",51,51,,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",138,134,4,,,
"Ocupantes presentes (041)",301,272,29,,,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",19,19,,,,
"Ocupantes presentes (047)",74,74,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",8,8,,,,
"Ocupantes presentes (050)",23,23,,,,
"Otro tipo",,,,,,
"Viviendas particulares (052)",1,1,,,,
"Ocupantes presentes (053)",2,2,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",1274,1249,22,2,,1
"Ocupantes presentes (056)",3608,3420,145,24,,19
"Casa independiente",,,,,,
"Viviendas particulares (058)",863,842,19,2,,
"Ocupantes presentes (059)",2611,2461,126,24,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",402,398,3,,,1
"Ocupantes presentes (071)",973,935,19,,,19
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",8,8,,,,
"Ocupantes presentes (077)",22,22,,,,
"Otro tipo",,,,,,
"Viviendas particulares (079)",1,1,,,,
"Ocupantes presentes (080)",2,2,,,,
