"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia ANDAHUAYLAS (000)",53370,51550,16273,5944,5895,4962,7466,5075,3425,2510,1820,155305
"De 12 a 14 años (001)",6122,6076,6047,29,,,,,,,46,29
"De 15 a 19 años (002)",7791,7642,6810,718,100,9,5,,,,149,965
"De 20 a 24 años (003)",5619,5005,1670,1962,1040,260,61,12,,,614,5150
"De 25 a 29 años (004)",5100,4649,505,1251,1463,907,482,37,4,,451,9209
"De 30 a 34 años (005)",4940,4750,282,700,1169,1070,1216,266,33,14,190,13642
"De 35 a 39 años (006)",4724,4634,163,393,766,943,1477,661,189,42,90,17553
"De 40 a 44 años (007)",3815,3748,132,214,396,549,1125,802,400,130,67,17530
"De 45 a 49 años (008)",3094,3060,97,158,244,361,726,713,491,270,34,16695
"De 50 y más años (009)",12165,11986,567,519,717,863,2374,2584,2308,2054,179,74532
"Conviviente (010)",8526,8236,832,2643,2023,1085,941,413,182,117,290,19536
"De 12 a 14 años (011)",74,37,20,17,,,,,,,37,17
"De 15 a 19 años (012)",914,808,290,451,60,6,1,,,,106,593
"De 20 a 24 años (013)",2166,2074,240,1129,556,120,25,4,,,92,2731
"De 25 a 29 años (014)",1851,1819,137,611,627,309,121,13,1,,32,3389
"De 30 a 34 años (015)",1345,1336,62,250,424,279,270,43,5,3,9,3442
"De 35 a 39 años (016)",827,822,15,89,202,195,200,97,17,7,5,2798
"De 40 a 44 años (017)",482,480,17,37,87,85,130,75,40,9,2,1949
"De 45 a 49 años (018)",289,288,11,17,27,48,83,56,33,13,1,1377
"De 50 y más años (019)",578,572,40,42,40,43,111,125,86,85,6,3240
"Separado(a) (020)",1898,1867,48,692,414,227,271,111,67,37,31,5059
"De 12 a 14 años (021)",5,5,2,3,,,,,,,,3
"De 15 a 19 años (022)",106,99,8,86,5,,,,,,7,96
