"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia AZANGARO (000)",136829,2366,45760,34912,22560,19817,11414
"Hombres (001)",66613,1162,23302,17037,10506,9302,5304
"Mujeres (002)",70216,1204,22458,17875,12054,10515,6110
"Viviendas particulares (003)",135930,2353,45634,34676,22273,19627,11367
"Hombres (004)",66109,1156,23248,16897,10336,9192,5280
"Mujeres (005)",69821,1197,22386,17779,11937,10435,6087
"Viviendas colectivas (006)",247,1,11,77,98,55,5
"Hombres (007)",193,1,4,58,80,46,4
"Mujeres (008)",54,,7,19,18,9,1
"Otro tipo (009)",652,12,115,159,189,135,42
"Hombres (010)",311,5,50,82,90,64,20
"Mujeres (011)",341,7,65,77,99,71,22
,,,,,,,
"URBANA (012)",37508,642,12182,10707,7110,4811,2056
"Hombres (013)",18676,311,6236,5292,3345,2524,968
"Mujeres (014)",18832,331,5946,5415,3765,2287,1088
"Viviendas particulares (015)",37011,636,12135,10546,6939,4726,2029
"Hombres (016)",18338,309,6213,5185,3224,2458,949
"Mujeres (017)",18673,327,5922,5361,3715,2268,1080
"Viviendas colectivas (018)",241,1,6,76,98,55,5
"Hombres (019)",191,1,3,57,80,46,4
"Mujeres (020)",50,,3,19,18,9,1
"Otro tipo (021)",256,5,41,85,73,30,22
"Hombres (022)",147,1,20,50,41,20,15
"Mujeres (023)",109,4,21,35,32,10,7
,,,,,,,
"RURAL (024)",99321,1724,33578,24205,15450,15006,9358
"Hombres (025)",47937,851,17066,11745,7161,6778,4336
"Mujeres (026)",51384,873,16512,12460,8289,8228,5022
"Viviendas particulares (027)",98919,1717,33499,24130,15334,14901,9338
"Hombres (028)",47771,847,17035,11712,7112,6734,4331
"Mujeres (029)",51148,870,16464,12418,8222,8167,5007
"Viviendas colectivas (030)",6,,5,1,,,
"Hombres (031)",2,,1,1,,,
"Mujeres (032)",4,,4,,,,
"Otro tipo (033)",396,7,74,74,116,105,20
"Hombres (034)",164,4,30,32,49,44,5
"Mujeres (035)",232,3,44,42,67,61,15
