"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CAYLLOMA (000)",19483,18668,94,3877,4241,3228,4075,2116,802,235,815,62815
"De 12 a 14 años (001)",24,9,,8,1,,,,,,15,10
"De 15 a 19 años (002)",495,438,11,369,48,7,3,,,,57,498
"De 20 a 24 años (003)",2197,1935,16,1193,609,91,20,6,,,262,2803
"De 25 a 29 años (004)",2738,2515,8,951,929,464,153,10,,,223,4917
"De 30 a 34 años (005)",2560,2462,4,511,904,593,389,55,6,,98,6170
"De 35 a 39 años (006)",2335,2291,8,262,627,591,619,162,20,2,44,7193
"De 40 a 44 años (007)",2076,2042,6,150,392,450,686,281,65,12,34,7761
"De 45 a 49 años (008)",1615,1601,4,101,221,314,550,280,98,33,14,6880
"De 50 y más años (009)",5443,5375,37,332,510,718,1655,1322,613,188,68,26583
"Conviviente (010)",7170,7022,35,2187,2080,1153,1083,364,92,28,148,17910
"De 12 a 14 años (011)",15,3,,2,1,,,,,,12,4
"De 15 a 19 años (012)",374,325,9,271,42,3,,,,,49,364
"De 20 a 24 años (013)",1458,1422,10,855,477,66,10,4,,,36,2073
"De 25 a 29 años (014)",1650,1626,4,595,617,310,92,8,,,24,3199
"De 30 a 34 años (015)",1247,1241,1,243,466,301,204,25,1,,6,3120
"De 35 a 39 años (016)",958,952,3,106,260,230,275,68,10,,6,3018
"De 40 a 44 años (017)",590,584,3,44,112,109,213,84,16,3,6,2222
"De 45 a 49 años (018)",353,351,1,30,44,69,129,55,18,5,2,1453
"De 50 y más años (019)",525,518,4,41,61,65,160,120,47,20,7,2457
"Separado(a) (020)",991,979,,272,229,156,183,105,24,10,12,2983
"De 15 a 19 años (022)",25,24,,23,1,,,,,,1,25
"De 20 a 24 años (023)",97,94,,66,22,5,1,,,,3,129
