"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia LUYA (000)",44999,2452,5948,6215,4551,6719,5810,9407,3897
"Sabe leer y escribir (001)",36071,,3922,6100,4408,6378,5356,7648,2259
"No sabe leer y escribir (002)",8928,2452,2026,115,143,341,454,1759,1638
"Hombres (004)",23232,1215,2974,3252,2499,3554,3047,4869,1822
"Sabe leer y escribir (005)",19646,,1965,3196,2437,3419,2876,4347,1406
"No sabe leer y escribir (006)",3586,1215,1009,56,62,135,171,522,416
"Mujeres (008)",21767,1237,2974,2963,2052,3165,2763,4538,2075
"Sabe leer y escribir (009)",16425,,1957,2904,1971,2959,2480,3301,853
"No sabe leer y escribir (010)",5342,1237,1017,59,81,206,283,1237,1222
,,,,,,,,,
"URBANA (012)",18372,894,2183,2446,1859,2547,2433,4117,1893
"Sabe leer y escribir (013)",15289,,1538,2407,1815,2465,2336,3558,1170
"No sabe leer y escribir (014)",3083,894,645,39,44,82,97,559,723
"Hombres (016)",9087,417,1092,1246,989,1277,1191,2080,795
"Sabe leer y escribir (017)",7980,,787,1228,973,1236,1157,1951,648
"No sabe leer y escribir (018)",1107,417,305,18,16,41,34,129,147
"Mujeres (020)",9285,477,1091,1200,870,1270,1242,2037,1098
"Sabe leer y escribir (021)",7309,,751,1179,842,1229,1179,1607,522
"No sabe leer y escribir (022)",1976,477,340,21,28,41,63,430,576
,,,,,,,,,
"RURAL (024)",26627,1558,3765,3769,2692,4172,3377,5290,2004
"Sabe leer y escribir (025)",20782,,2384,3693,2593,3913,3020,4090,1089
"No sabe leer y escribir (026)",5845,1558,1381,76,99,259,357,1200,915
"Hombres (028)",14145,798,1882,2006,1510,2277,1856,2789,1027
"Sabe leer y escribir (029)",11666,,1178,1968,1464,2183,1719,2396,758
"No sabe leer y escribir (030)",2479,798,704,38,46,94,137,393,269
"Mujeres (032)",12482,760,1883,1763,1182,1895,1521,2501,977
"Sabe leer y escribir (033)",9116,,1206,1725,1129,1730,1301,1694,331
"No sabe leer y escribir (034)",3366,760,677,38,53,165,220,807,646
