"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia PATAZ (000)",16138,73667,4441,18855,11697,54812
"Casa independiente (001)",15624,71505,4258,18211,11366,53294
"Departamento en edificio (002)",5,19,5,19,,
"Vivienda en quinta (003)",51,185,51,185,,
"Vivienda en casa de vecindad (004)",110,378,110,378,,
"Choza o cabaña (005)",318,1447,,,318,1447
"Vivienda improvisada (006)",11,45,11,45,,
"Local no dest.para hab. humana (007)",15,64,6,17,9,47
"Otro tipo (008)",4,24,,,4,24
