"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
"Primaria (033)",290,14,101,93,67,15
"Secundaria (034)",188,4,137,34,12,1
"Superior no univ. incompleta (035)",15,,8,3,4,
"Superior no univ. completa (036)",10,,4,6,,
"Superior univ. incompleta (037)",12,,5,5,1,1
"Superior univ. completa (038)",16,,3,9,4,
"No PEA (040)",16560,6572,3864,2129,2066,1929
"Sin nivel (041)",2698,166,181,440,816,1095
"Educación inicial (042)",601,584,15,2,,
"Primaria (043)",8765,4857,1113,1163,968,664
"Secundaria (044)",3807,965,2287,343,138,74
"Superior no univ. incompleta (045)",211,,133,34,31,13
"Superior no univ. completa (046)",165,,48,53,41,23
"Superior univ. incompleta (047)",134,,62,30,20,22
"Superior univ. completa (048)",179,,25,64,52,38
,,,,,,
"URBANA (060)",13171,3302,3418,2666,2284,1501
"Sin nivel (061)",1578,71,97,255,490,665
"Educación inicial (062)",287,279,8,,,
"Primaria (063)",5694,2342,707,968,1061,616
"Secundaria (064)",3656,610,2011,640,305,90
"Superior no univ. incompleta (065)",429,,223,118,68,20
"Superior no univ. completa (066)",498,,128,233,109,28
"Superior univ. incompleta (067)",342,,127,132,59,24
"Superior univ. completa (068)",687,,117,320,192,58
"PEA (070)",4667,52,1454,1631,1150,380
"Sin nivel (071)",313,6,38,79,103,87
"Educación inicial (072)",2,,2,,,
"Primaria (073)",1536,33,292,470,535,206
"Secundaria (074)",1407,13,741,412,203,38
"Superior no univ. incompleta (075)",254,,108,93,43,10
"Superior no univ. completa (076)",375,,95,196,75,9
"Superior univ. incompleta (077)",234,,79,107,41,7
"Superior univ. completa (078)",546,,99,274,150,23
"Ocupada (080)",4358,46,1302,1546,1096,368
"Sin nivel (081)",300,5,34,76,99,86
"Educación inicial (082)",2,,2,,,
"Primaria (083)",1406,29,250,431,499,197
"Secundaria (084)",1280,12,649,388,194,37
"Superior no univ. incompleta (085)",245,,103,91,41,10
"Superior no univ. completa (086)",368,,93,191,75,9
"Superior univ. incompleta (087)",224,,75,103,40,6
"Superior univ. completa (088)",533,,96,266,148,23
"Desocupada (090)",309,6,152,85,54,12
"Sin nivel (091)",13,1,4,3,4,1
"Primaria (093)",130,4,42,39,36,9
"Secundaria (094)",127,1,92,24,9,1
"Superior no univ. incompleta (095)",9,,5,2,2,
"Superior no univ. completa (096)",7,,2,5,,
"Superior univ. incompleta (097)",10,,4,4,1,1
"Superior univ. completa (098)",13,,3,8,2,
"No PEA (100)",8504,3250,1964,1035,1134,1121
"Sin nivel (101)",1265,65,59,176,387,578
"Educación inicial (102)",285,279,6,,,
"Primaria (103)",4158,2309,415,498,526,410
"Secundaria (104)",2249,597,1270,228,102,52
"Superior no univ. incompleta (105)",175,,115,25,25,10
"Superior no univ. completa (106)",123,,33,37,34,19
"Superior univ. incompleta (107)",108,,48,25,18,17
"Superior univ. completa (108)",141,,18,46,42,35
,,,,,,
"RURAL (120)",11885,3394,3204,2313,1829,1145
"Sin nivel (121)",1850,105,164,384,570,627
"Educación inicial (122)",322,305,14,3,,
"Primaria (123)",6516,2605,1208,1256,1001,446
"Secundaria (124)",2523,379,1599,374,131,40
"Superior no univ. incompleta (125)",141,,70,43,25,3
"Superior no univ. completa (126)",178,,74,76,21,7
"Superior univ. incompleta (127)",88,,36,29,15,8
"Superior univ. completa (128)",267,,39,148,66,14
"PEA (130)",3829,72,1304,1219,897,337
"Sin nivel (131)",417,4,42,120,141,110
"Educación inicial (132)",6,,5,1,,
"Primaria (133)",1909,57,510,591,559,192
"Secundaria (134)",965,11,582,259,95,18
"Superior no univ. incompleta (135)",105,,52,34,19,
"Superior no univ. completa (136)",136,,59,60,14,3
"Superior univ. incompleta (137)",62,,22,24,13,3
"Superior univ. completa (138)",229,,32,130,56,11
"Ocupada (140)",3570,58,1186,1142,855,329
"Sin nivel (141)",393,3,34,111,137,108
"Educación inicial (142)",6,,5,1,,
"Primaria (143)",1749,47,451,537,528,186
"Secundaria (144)",904,8,537,249,92,18
"Superior no univ. incompleta (145)",99,,49,33,17,
"Superior no univ. completa (146)",133,,57,59,14,3
"Superior univ. incompleta (147)",60,,21,23,13,3
"Superior univ. completa (148)",226,,32,129,54,11
"Desocupada (150)",259,14,118,77,42,8
"Sin nivel (151)",24,1,8,9,4,2
"Primaria (153)",160,10,59,54,31,6
"Secundaria (154)",61,3,45,10,3,
"Superior no univ. incompleta (155)",6,,3,1,2,
"Superior no univ. completa (156)",3,,2,1,,
"Superior univ. incompleta (157)",2,,1,1,,
"Superior univ. completa (158)",3,,,1,2,
"No PEA (160)",8056,3322,1900,1094,932,808
"Sin nivel (161)",1433,101,122,264,429,517
"Educación inicial (162)",316,305,9,2,,
"Primaria (163)",4607,2548,698,665,442,254
"Secundaria (164)",1558,368,1017,115,36,22
"Superior no univ. incompleta (165)",36,,18,9,6,3
"Superior no univ. completa (166)",42,,15,16,7,4
"Superior univ. incompleta (167)",26,,14,5,2,5
"Superior univ. completa (168)",38,,7,18,10,3
