"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia JAEN (000)",183634,3681,61733,50104,35097,23954,9065
"Hombres (001)",94094,1863,31717,25407,17653,12529,4925
"Mujeres (002)",89540,1818,30016,24697,17444,11425,4140
"Viviendas particulares (003)",182221,3667,61686,49561,34622,23666,9019
"Hombres (004)",92964,1855,31691,24993,17250,12279,4896
"Mujeres (005)",89257,1812,29995,24568,17372,11387,4123
"Viviendas colectivas (006)",1238,11,35,489,418,246,39
"Hombres (007)",990,5,20,370,357,216,22
"Mujeres (008)",248,6,15,119,61,30,17
"Otro tipo (009)",175,3,12,54,57,42,7
"Hombres (010)",140,3,6,44,46,34,7
"Mujeres (011)",35,,6,10,11,8,
,,,,,,,
"URBANA (012)",91910,1652,27426,26836,19284,12506,4206
"Hombres (013)",45737,819,13981,12905,9347,6447,2238
"Mujeres (014)",46173,833,13445,13931,9937,6059,1968
"Viviendas particulares (015)",90857,1638,27379,26415,18923,12329,4173
"Hombres (016)",44941,811,13955,12602,9053,6302,2218
"Mujeres (017)",45916,827,13424,13813,9870,6027,1955
"Viviendas colectivas (018)",879,11,35,367,304,136,26
"Hombres (019)",657,5,20,259,248,112,13
"Mujeres (020)",222,6,15,108,56,24,13
"Otro tipo (021)",174,3,12,54,57,41,7
"Hombres (022)",139,3,6,44,46,33,7
"Mujeres (023)",35,,6,10,11,8,
,,,,,,,
"RURAL (024)",91724,2029,34307,23268,15813,11448,4859
"Hombres (025)",48357,1044,17736,12502,8306,6082,2687
"Mujeres (026)",43367,985,16571,10766,7507,5366,2172
"Viviendas particulares (027)",91364,2029,34307,23146,15699,11337,4846
"Hombres (028)",48023,1044,17736,12391,8197,5977,2678
"Mujeres (029)",43341,985,16571,10755,7502,5360,2168
"Viviendas colectivas (030)",359,,,122,114,110,13
"Hombres (031)",333,,,111,109,104,9
"Mujeres (032)",26,,,11,5,6,4
"Otro tipo (033)",1,,,,,1,
"Hombres (034)",1,,,,,1,
