"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SANTA CRUZ (000)",11122,9427,643,250,802
"Hombres (001)",8870,7750,477,168,475
"Mujeres (002)",2252,1677,166,82,327
"De 06 a 14 años (003)",121,112,8,1,
"Hombres (004)",98,90,7,1,
"Mujeres (005)",23,22,1,,
"De 15 a 29 años (006)",3033,2746,140,38,109
"Hombres (007)",2451,2257,106,31,57
"Mujeres (008)",582,489,34,7,52
"De 30 a 44 años (009)",3863,3011,308,114,430
"Hombres (010)",2956,2413,216,74,253
"Mujeres (011)",907,598,92,40,177
"De 45 a 64 años (012)",2953,2468,158,92,235
"Hombres (013)",2380,2044,121,58,157
"Mujeres (014)",573,424,37,34,78
"De 65 y más años (015)",1152,1090,29,5,28
"Hombres (016)",985,946,27,4,8
"Mujeres (017)",167,144,2,1,20
,,,,,
"URBANA (018)",3066,2005,325,200,536
"Hombres (019)",2023,1328,224,136,335
"Mujeres (020)",1043,677,101,64,201
"De 06 a 14 años (021)",26,24,1,1,
"Hombres (022)",13,11,1,1,
"Mujeres (023)",13,13,,,
"De 15 a 29 años (024)",686,526,56,27,77
"Hombres (025)",443,344,39,21,39
"Mujeres (026)",243,182,17,6,38
"De 30 a 44 años (027)",1341,756,183,101,301
"Hombres (028)",838,473,120,64,181
"Mujeres (029)",503,283,63,37,120
"De 45 a 64 años (030)",811,513,77,69,152
"Hombres (031)",570,356,56,48,110
"Mujeres (032)",241,157,21,21,42
"De 65 y más años (033)",202,186,8,2,6
"Hombres (034)",159,144,8,2,5
"Mujeres (035)",43,42,,,1
,,,,,
"RURAL (036)",8056,7422,318,50,266
"Hombres (037)",6847,6422,253,32,140
"Mujeres (038)",1209,1000,65,18,126
"De 06 a 14 años (039)",95,88,7,,
"Hombres (040)",85,79,6,,
"Mujeres (041)",10,9,1,,
"De 15 a 29 años (042)",2347,2220,84,11,32
"Hombres (043)",2008,1913,67,10,18
"Mujeres (044)",339,307,17,1,14
"De 30 a 44 años (045)",2522,2255,125,13,129
"Hombres (046)",2118,1940,96,10,72
"Mujeres (047)",404,315,29,3,57
"De 45 a 64 años (048)",2142,1955,81,23,83
"Hombres (049)",1810,1688,65,10,47
"Mujeres (050)",332,267,16,13,36
"De 65 y más años (051)",950,904,21,3,22
"Hombres (052)",826,802,19,2,3
"Mujeres (053)",124,102,2,1,19
