"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia SANTA (000)",110988,862,3462,8759,13553,22662,32676,29014
"De 12 a 14 años (001)",119,,,,,,5,114
"De 15 a 19 años (002)",2298,,,,,,1316,982
"De 20 a 24 años (003)",9913,,,,,43,5260,4610
"De 25 a 29 años (004)",13562,,,,,848,7682,5032
"De 30 a 34 años (005)",13844,,,,2,2570,7629,3643
"De 35 a 39 años (006)",14010,,,,177,4635,6225,2973
"De 40 a 44 años (007)",12503,,,3,1036,5614,3349,2501
"De 45 a 49 años (008)",10312,,,88,2376,4859,1035,1954
"De 50 y más años (009)",34427,862,3462,8668,9962,4093,175,7205
"PEA (010)",39574,39,354,1767,4687,10200,11203,11324
"De 12 a 14 años (011)",15,,,,,,1,14
"De 15 a 19 años (012)",398,,,,,,222,176
"De 20 a 24 años (013)",3021,,,,,18,1342,1661
"De 25 a 29 años (014)",5023,,,,,354,2403,2266
"De 30 a 34 años (015)",5671,,,,,1198,2736,1737
"De 35 a 39 años (016)",6387,,,,104,2221,2539,1523
"De 40 a 44 años (017)",5829,,,2,495,2616,1473,1243
"De 45 a 49 años (018)",4784,,,53,1079,2243,433,976
"De 50 y más años (019)",8446,39,354,1712,3009,1550,54,1728
"Ocupada (020)",38244,36,348,1743,4601,9949,10798,10769
"De 12 a 14 años (021)",14,,,,,,1,13
"De 15 a 19 años (022)",361,,,,,,206,155
"De 20 a 24 años (023)",2807,,,,,17,1255,1535
"De 25 a 29 años (024)",4746,,,,,340,2295,2111
"De 30 a 34 años (025)",5455,,,,,1164,2638,1653
"De 35 a 39 años (026)",6204,,,,101,2164,2483,1456
"De 40 a 44 años (027)",5683,,,2,485,2551,1437,1208
"De 45 a 49 años (028)",4676,,,52,1056,2194,430,944
"De 50 y más años (029)",8298,36,348,1689,2959,1519,53,1694
"Desocupada (030)",1330,3,6,24,86,251,405,555
"De 12 a 14 años (031)",1,,,,,,,1
"De 15 a 19 años (032)",37,,,,,,16,21
"De 20 a 24 años (033)",214,,,,,1,87,126
"De 25 a 29 años (034)",277,,,,,14,108,155
"De 30 a 34 años (035)",216,,,,,34,98,84
"De 35 a 39 años (036)",183,,,,3,57,56,67
"De 40 a 44 años (037)",146,,,,10,65,36,35
"De 45 a 49 años (038)",108,,,1,23,49,3,32
"De 50 y más años (039)",148,3,6,23,50,31,1,34
"No PEA (040)",71414,823,3108,6992,8866,12462,21473,17690
"De 12 a 14 años (041)",104,,,,,,4,100
"De 15 a 19 años (042)",1900,,,,,,1094,806
"De 20 a 24 años (043)",6892,,,,,25,3918,2949
