"CUADRO Nº 16: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia PISCO (000)",48098,10652,16180,15610,686,1572,655,2743
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",108,93,,,15,,,
"Profes., científicos e intelectuales (002)",3233,2791,,396,40,6,,
"Técnicos de nivel medio y trab. asimilados (003)",2199,1598,,499,84,17,1,
"Jefes y empleados de oficina (004)",1675,1655,,12,,8,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",5800,1727,101,3323,132,517,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",4889,21,171,4452,237,8,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",5226,,3692,1448,60,26,,
"Obreros construc.,conf.,papel, fab., instr. (008)",6115,522,2565,2928,73,27,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (009)",14248,1186,9181,2291,33,903,654,
"Otra (010)",830,830,,,,,,
"Ocupación no especificada (011)",1032,229,470,261,12,60,,
"Desocupado (012)",2743,,,,,,,2743
"Hombres (013)",33698,6399,13013,11190,503,691,79,1823
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",72,59,,,13,,,
"Profes., científicos e intelectuales (015)",1378,1078,,271,28,1,,
"Técnicos de nivel medio y trab. asimilados (016)",1521,1068,,385,58,10,,
"Jefes y empleados de oficina (017)",911,904,,4,,3,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",2627,1142,34,1289,54,108,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",4357,17,162,3970,201,7,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",4270,,2948,1247,57,18,,
"Obreros construc.,conf.,papel, fab., instr. (021)",5976,517,2484,2877,73,25,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (022)",9312,682,7012,1026,13,500,79,
"Otra (023)",804,804,,,,,,
"Ocupación no especificada (024)",647,128,373,121,6,19,,
"Desocupado (025)",1823,,,,,,,1823
"Mujeres (026)",14400,4253,3167,4420,183,881,576,920
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",36,34,,,2,,,
"Profes., científicos e intelectuales (028)",1855,1713,,125,12,5,,
"Técnicos de nivel medio y trab. asimilados (029)",678,530,,114,26,7,1,
"Jefes y empleados de oficina (030)",764,751,,8,,5,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",3173,585,67,2034,78,409,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",532,4,9,482,36,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",956,,744,201,3,8,,
"Obreros construc.,conf.,papel, fab., instr. (034)",139,5,81,51,,2,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (035)",4936,504,2169,1265,20,403,575,
"Otra (036)",26,26,,,,,,
"Ocupación no especificada (037)",385,101,97,140,6,41,,
"Desocupado (038)",920,,,,,,,920
,,,,,,,,
"URBANA (039)",42199,10099,13807,13391,609,1076,620,2597
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",102,87,,,15,,,
"Profes., científicos e intelectuales (041)",3100,2682,,372,40,6,,
"Técnicos de nivel medio y trab. asimilados (042)",2094,1515,,483,78,17,1,
"Jefes y empleados de oficina (043)",1604,1585,,11,,8,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",5492,1569,87,3207,129,500,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",3086,16,163,2725,174,8,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",5020,,3544,1393,58,25,,
"Obreros construc.,conf.,papel, fab., instr. (047)",5780,471,2465,2745,72,27,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (048)",11576,1145,7114,2231,32,435,619,
"Otra (049)",802,802,,,,,,
"Ocupación no especificada (050)",946,227,434,224,11,50,,
"Desocupado (051)",2597,,,,,,,2597
"Hombres (052)",29080,6006,11142,9309,435,399,68,1721
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",69,56,,,13,,,
"Profes., científicos e intelectuales (054)",1318,1035,,254,28,1,,
"Técnicos de nivel medio y trab. asimilados (055)",1439,1005,,372,52,10,,
"Jefes y empleados de oficina (056)",871,864,,4,,3,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",2449,1018,28,1246,53,104,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",2751,12,154,2433,145,7,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",4111,,2842,1196,55,18,,
"Obreros construc.,conf.,papel, fab., instr. (060)",5647,467,2386,2697,72,25,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (061)",7313,647,5379,993,12,214,68,
"Otra (062)",776,776,,,,,,
"Ocupación no especificada (063)",615,126,353,114,5,17,,
"Desocupado (064)",1721,,,,,,,1721
"Mujeres (065)",13119,4093,2665,4082,174,677,552,876
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",33,31,,,2,,,
"Profes., científicos e intelectuales (067)",1782,1647,,118,12,5,,
"Técnicos de nivel medio y trab. asimilados (068)",655,510,,111,26,7,1,
"Jefes y empleados de oficina (069)",733,721,,7,,5,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",3043,551,59,1961,76,396,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",335,4,9,292,29,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",909,,702,197,3,7,,
"Obreros construc.,conf.,papel, fab., instr. (073)",133,4,79,48,,2,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (074)",4263,498,1735,1238,20,221,551,
"Otra (075)",26,26,,,,,,
"Ocupación no especificada (076)",331,101,81,110,6,33,,
"Desocupado (077)",876,,,,,,,876
,,,,,,,,
"RURAL (078)",5899,553,2373,2219,77,496,35,146
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",6,6,,,,,,
"Profes., científicos e intelectuales (080)",133,109,,24,,,,
"Técnicos de nivel medio y trab. asimilados (081)",105,83,,16,6,,,
"Jefes y empleados de oficina (082)",71,70,,1,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",308,158,14,116,3,17,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",1803,5,8,1727,63,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",206,,148,55,2,1,,
"Obreros construc.,conf.,papel, fab., instr. (086)",335,51,100,183,1,,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (087)",2672,41,2067,60,1,468,35,
"Otra (088)",28,28,,,,,,
"Ocupación no especificada (089)",86,2,36,37,1,10,,
"Desocupado (090)",146,,,,,,,146
"Hombres (091)",4618,393,1871,1881,68,292,11,102
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",3,3,,,,,,
"Profes., científicos e intelectuales (093)",60,43,,17,,,,
"Técnicos de nivel medio y trab. asimilados (094)",82,63,,13,6,,,
