"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia OYON (000)",7149,6889,1936,871,886,698,1079,659,422,338,260,21220
"De 12 a 14 años (001)",665,655,653,2,,,,,,,10,2
"De 15 a 19 años (002)",886,859,745,104,8,1,1,,,,27,127
"De 20 a 24 años (003)",786,707,230,285,151,36,4,1,,,79,717
"De 25 a 29 años (004)",720,666,96,198,216,103,52,,1,,54,1169
"De 30 a 34 años (005)",688,666,68,110,167,155,143,20,3,,22,1683
"De 35 a 39 años (006)",709,686,34,51,126,152,216,81,22,4,23,2461
"De 40 a 44 años (007)",494,486,19,26,65,75,156,83,45,17,8,2179
"De 45 a 49 años (008)",449,441,15,24,36,42,124,105,61,34,8,2354
"De 50 y más años (009)",1752,1723,76,71,117,134,383,369,290,283,29,10528
"Sin nivel (010)",1099,1084,60,58,75,88,251,206,164,182,15,6440
"De 12 a 14 años (011)",5,5,5,,,,,,,,,
"De 15 a 19 años (012)",10,9,7,2,,,,,,,1,2
"De 20 a 24 años (013)",15,12,6,4,,1,1,,,,3,11
"De 25 a 29 años (014)",20,20,1,3,6,4,6,,,,,53
"De 30 a 34 años (015)",70,68,3,9,12,18,22,3,1,,2,212
"De 35 a 39 años (016)",85,83,3,4,10,12,29,18,5,2,2,367
"De 40 a 44 años (017)",73,71,3,4,9,8,23,13,4,7,2,349
"De 45 a 49 años (018)",77,77,2,6,2,3,19,15,16,14,,491
"De 50 y más años (019)",744,739,30,26,36,42,151,157,138,159,5,4955
"Educacion Inicial (020)",12,12,9,2,,,,1,,,,8
"De 15 a 19 años (022)",9,9,9,,,,,,,,,
"De 25 a 29 años (024)",2,2,,2,,,,,,,,2
"De 35 a 39 años (026)",1,1,,,,,,1,,,,6
