"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia HUANCA SANCOS (000)",9923,496,1173,1330,965,1306,1362,2336,955
"Sin nivel (001)",1718,496,125,6,9,47,95,499,441
"Educación inicial (002)",232,,222,1,1,4,4,,
"Primaria (003)",4487,,826,1014,172,390,492,1145,448
"Secundaria (004)",2488,,,309,761,580,413,387,38
"Superior no univ. incompleto (005)",183,,,,9,83,52,36,3
"Superior no univ. completo (006)",378,,,,,112,157,100,9
"Superior univ. incompleto (007)",137,,,,13,48,35,37,4
"Superior univ. completo (008)",300,,,,,42,114,132,12
"Hombres (010)",4801,233,605,677,552,593,664,1092,385
"Sin nivel (011)",457,233,64,2,4,11,14,58,71
"Educación inicial (012)",102,,102,,,,,,
"Primaria (013)",2056,,439,505,66,111,148,526,261
"Secundaria (014)",1533,,,170,469,315,276,273,30
"Superior no univ. incompleto (015)",107,,,,4,41,31,28,3
"Superior no univ. completo (016)",216,,,,,55,87,67,7
"Superior univ. incompleto (017)",114,,,,9,39,31,32,3
"Superior univ. completo (018)",216,,,,,21,77,108,10
"Mujeres (020)",5122,263,568,653,413,713,698,1244,570
"Sin nivel (021)",1261,263,61,4,5,36,81,441,370
"Educación inicial (022)",130,,120,1,1,4,4,,
"Primaria (023)",2431,,387,509,106,279,344,619,187
"Secundaria (024)",955,,,139,292,265,137,114,8
"Superior no univ. incompleto (025)",76,,,,5,42,21,8,
"Superior no univ. completo (026)",162,,,,,57,70,33,2
"Superior univ. incompleto (027)",23,,,,4,9,4,5,1
"Superior univ. completo (028)",84,,,,,21,37,24,2
,,,,,,,,,
"URBANA (030)",6708,318,821,956,666,849,928,1525,645
"Sin nivel (031)",943,318,74,5,6,18,37,228,257
"Educación inicial (032)",176,,169,1,1,3,2,,
"Primaria (033)",2926,,578,703,91,202,297,727,328
"Secundaria (034)",1826,,,247,550,403,290,302,34
"Superior no univ. incompleto (035)",144,,,,9,66,40,26,3
"Superior no univ. completo (036)",330,,,,,91,138,92,9
"Superior univ. incompleto (037)",91,,,,9,27,23,29,3
"Superior univ. completo (038)",272,,,,,39,101,121,11
"Hombres (040)",3249,151,425,498,388,387,438,708,254
"Sin nivel (041)",257,151,36,2,2,5,8,17,36
"Educación inicial (042)",78,,78,,,,,,
"Primaria (043)",1308,,311,361,36,61,81,289,169
"Secundaria (044)",1080,,,135,341,208,169,200,27
"Superior no univ. incompleto (045)",78,,,,4,29,21,21,3
"Superior no univ. completo (046)",179,,,,,42,71,59,7
"Superior univ. incompleto (047)",74,,,,5,24,19,24,2
"Superior univ. completo (048)",195,,,,,18,69,98,10
"Mujeres (050)",3459,167,396,458,278,462,490,817,391
"Sin nivel (051)",686,167,38,3,4,13,29,211,221
"Educación inicial (052)",98,,91,1,1,3,2,,
"Primaria (053)",1618,,267,342,55,141,216,438,159
"Secundaria (054)",746,,,112,209,195,121,102,7
"Superior no univ. incompleto (055)",66,,,,5,37,19,5,
"Superior no univ. completo (056)",151,,,,,49,67,33,2
"Superior univ. incompleto (057)",17,,,,4,3,4,5,1
"Superior univ. completo (058)",77,,,,,21,32,23,1
,,,,,,,,,
"RURAL (060)",3215,178,352,374,299,457,434,811,310
"Sin nivel (061)",775,178,51,1,3,29,58,271,184
"Educación inicial (062)",56,,53,,,1,2,,
"Primaria (063)",1561,,248,311,81,188,195,418,120
"Secundaria (064)",662,,,62,211,177,123,85,4
"Superior no univ. incompleto (065)",39,,,,,17,12,10,
"Superior no univ. completo (066)",48,,,,,21,19,8,
"Superior univ. incompleto (067)",46,,,,4,21,12,8,1
"Superior univ. completo (068)",28,,,,,3,13,11,1
"Hombres (070)",1552,82,180,179,164,206,226,384,131
"Sin nivel (071)",200,82,28,,2,6,6,41,35
"Educación inicial (072)",24,,24,,,,,,
"Primaria (073)",748,,128,144,30,50,67,237,92
"Secundaria (074)",453,,,35,128,107,107,73,3
"Superior no univ. incompleto (075)",29,,,,,12,10,7,
"Superior no univ. completo (076)",37,,,,,13,16,8,
"Superior univ. incompleto (077)",40,,,,4,15,12,8,1
"Superior univ. completo (078)",21,,,,,3,8,10,
"Mujeres (080)",1663,96,172,195,135,251,208,427,179
"Sin nivel (081)",575,96,23,1,1,23,52,230,149
"Educación inicial (082)",32,,29,,,1,2,,
"Primaria (083)",813,,120,167,51,138,128,181,28
"Secundaria (084)",209,,,27,83,70,16,12,1
"Superior no univ. incompleto (085)",10,,,,,5,2,3,
"Superior no univ. completo (086)",11,,,,,8,3,,
"Superior univ. incompleto (087)",6,,,,,6,,,
"Superior univ. completo (088)",7,,,,,,5,1,1
