"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia MARISCAL LUZURIAGA (000)",349,2,170,100,64,13
"Conviviente (001)",77,,40,29,7,1
"Separado(a) (002)",12,,5,5,2,
"Casado(a) (003)",126,,18,50,51,7
"Viudo(a) (004)",11,,2,2,2,5
"Divorciado(a) (005)",3,,2,,1,
"Soltero(a) (006)",120,2,103,14,1,
"Hombres (008)",276,2,122,87,55,10
"Conviviente (009)",68,,34,28,5,1
"Separado(a) (010)",4,,1,1,2,
"Casado(a) (011)",116,,16,46,47,7
"Viudo(a) (012)",5,,2,1,,2
"Divorciado(a) (013)",1,,1,,,
"Soltero(a) (014)",82,2,68,11,1,
"Mujeres (016)",73,,48,13,9,3
"Conviviente (017)",9,,6,1,2,
"Separado(a) (018)",8,,4,4,,
"Casado(a) (019)",10,,2,4,4,
"Viudo(a) (020)",6,,,1,2,3
"Divorciado(a) (021)",2,,1,,1,
"Soltero(a) (022)",38,,35,3,,
,,,,,,
"AREA URBANA (024)",17,,9,5,2,1
"Conviviente (025)",5,,2,2,1,
"Casado(a) (027)",3,,1,1,1,
"Viudo(a) (028)",1,,,,,1
"Soltero(a) (030)",8,,6,2,,
"Hombres (032)",11,,4,4,2,1
"Conviviente (033)",4,,1,2,1,
"Casado(a) (035)",1,,,,1,
"Viudo(a) (036)",1,,,,,1
"Soltero(a) (038)",5,,3,2,,
"Mujeres (040)",6,,5,1,,
"Conviviente (041)",1,,1,,,
"Casado(a) (043)",2,,1,1,,
"Soltero(a) (046)",3,,3,,,
,,,,,,
"AREA RURAL (048)",332,2,161,95,62,12
"Conviviente (049)",72,,38,27,6,1
"Separado(a) (050)",12,,5,5,2,
"Casado(a) (051)",123,,17,49,50,7
"Viudo(a) (052)",10,,2,2,2,4
"Divorciado(a) (053)",3,,2,,1,
"Soltero(a) (054)",112,2,97,12,1,
"Hombres (056)",265,2,118,83,53,9
"Conviviente (057)",64,,33,26,4,1
"Separado(a) (058)",4,,1,1,2,
"Casado(a) (059)",115,,16,46,46,7
"Viudo(a) (060)",4,,2,1,,1
"Divorciado(a) (061)",1,,1,,,
"Soltero(a) (062)",77,2,65,9,1,
"Mujeres (064)",67,,43,12,9,3
"Conviviente (065)",8,,5,1,2,
"Separado(a) (066)",8,,4,4,,
"Casado(a) (067)",8,,1,3,4,
"Viudo(a) (068)",6,,,1,2,3
"Divorciado(a) (069)",2,,1,,1,
"Soltero(a) (070)",35,,32,3,,
