"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CANTA (000)",7278,3854,3424
"Casa independiente (001)",6689,3679,3010
"Departamento en edificio (002)",2,2,
"Vivienda en quinta (003)",48,48,
"Vivienda en casa de vecindad (004)",114,114,
"Choza o cabaña (005)",403,,403
"Vivienda improvisada (006)",7,7,
"Local no dest.para hab. humana (007)",12,4,8
"Otro tipo (008)",3,,3
