"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia HUAYTARA (000)",8037,28129,24471,,377,87,1.3
"De 12 a 14 años (001)",686,5,5,,1,100,20
"De 15 a 19 años (002)",869,147,144,46,98,31.3,
"De 20 a 24 años (003)",786,852,829,94,97.3,11,
"De 25 a 29 años (004)",663,1236,1182,85,95.6,6.9,
"De 30 a 34 años (005)",687,2049,1943,72,94.8,3.5,
"De 35 a 39 años (006)",648,2455,2295,56,93.5,2.3,
"De 40 a 44 años (007)",584,2751,2496,21,90.7,0.8,
"De 45 a 49 años (008)",526,2859,2534,2,88.6,0.1,
"De 50 y más años (009)",2588,15775,13043,,82.7,,
"PEA (010)",2383,8402,7575,103,90.2,1.2,
"De 12 a 14 años (011)",33,1,1,1,100,100,
"De 15 a 19 años (012)",148,33,33,8,100,24.2,
"De 20 a 24 años (013)",263,238,232,23,97.5,9.7,
"De 25 a 29 años (014)",244,401,385,31,96,7.7,
"De 30 a 34 años (015)",259,617,592,14,95.9,2.3,
"De 35 a 39 años (016)",279,878,847,17,96.5,1.9,
"De 40 a 44 años (017)",233,943,885,7,93.8,0.7,
"De 45 a 49 años (018)",201,987,909,2,92.1,0.2,
"De 50 y más años (019)",723,4304,3691,,85.8,,
"Ocupada (020)",2306,8211,7409,102,90.2,1.2,
"De 12 a 14 años (021)",33,1,1,1,100,100,
"De 15 a 19 años (022)",129,32,32,8,100,25,
"De 20 a 24 años (023)",247,235,229,23,97.4,9.8,
"De 25 a 29 años (024)",234,384,368,30,95.8,7.8,
"De 30 a 34 años (025)",251,601,580,14,96.5,2.3,
"De 35 a 39 años (026)",276,864,833,17,96.4,2,
"De 40 a 44 años (027)",230,929,871,7,93.8,0.8,
"De 45 a 49 años (028)",198,968,891,2,92,0.2,
"De 50 y más años (029)",708,4197,3604,,85.9,,
"Desocupada (030)",77,191,166,1,86.9,0.5,
"De 15 a 19 años (032)",19,1,1,,100,,
"De 20 a 24 años (033)",16,3,3,,100,,
"De 25 a 29 años (034)",10,17,17,1,100,5.9,
"De 30 a 34 años (035)",8,16,12,,75,,
"De 35 a 39 años (036)",3,14,14,,100,,
"De 40 a 44 años (037)",3,14,14,,100,,
"De 45 a 49 años (038)",3,19,18,,94.7,,
"De 50 y más años (039)",15,107,87,,81.3,,
