"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia CHEPEN (000)",18630,75772,15212,61946,3418,13826
"Casa independiente (001)",17915,73372,14598,59903,3317,13469
"Departamento en edificio (002)",134,530,134,530,,
"Vivienda en quinta (003)",286,889,286,889,,
"Vivienda en casa de vecindad (004)",173,558,173,558,,
"Choza o cabaña (005)",99,350,,,99,350
"Vivienda improvisada (006)",8,24,8,24,,
"Local no dest.para hab. humana (007)",13,45,12,41,1,4
"Otro tipo (008)",2,4,1,1,1,3
