"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CORONEL PORTILLO (000)",4720,134,2519,1263,648,156
"Conviviente (001)",1700,3,673,689,285,50
"Separado(a) (002)",185,,64,68,50,3
"Casado(a) (003)",615,,89,235,229,62
"Viudo(a) (004)",59,,2,11,19,27
"Divorciado(a) (005)",13,,3,4,6,
"Soltero(a) (006)",2148,131,1688,256,59,14
"Hombres (008)",3080,94,1528,821,505,132
"Conviviente (009)",1086,1,340,466,235,44
"Separado(a) (010)",81,,20,30,29,2
"Casado(a) (011)",423,,48,140,179,56
"Viudo(a) (012)",37,,2,5,12,18
"Divorciado(a) (013)",6,,1,1,4,
"Soltero(a) (014)",1447,93,1117,179,46,12
"Mujeres (016)",1640,40,991,442,143,24
"Conviviente (017)",614,2,333,223,50,6
"Separado(a) (018)",104,,44,38,21,1
"Casado(a) (019)",192,,41,95,50,6
"Viudo(a) (020)",22,,,6,7,9
"Divorciado(a) (021)",7,,2,3,2,
"Soltero(a) (022)",701,38,571,77,13,2
,,,,,,
"AREA URBANA (024)",4336,114,2295,1190,599,138
"Conviviente (025)",1553,2,602,645,263,41
"Separado(a) (026)",172,,59,64,46,3
"Casado(a) (027)",572,,79,225,212,56
"Viudo(a) (028)",53,,2,9,16,26
"Divorciado(a) (029)",13,,3,4,6,
"Soltero(a) (030)",1973,112,1550,243,56,12
"Hombres (032)",2793,81,1369,764,464,115
"Conviviente (033)",972,1,288,432,215,36
"Separado(a) (034)",71,,17,26,26,2
"Casado(a) (035)",387,,39,133,165,50
"Viudo(a) (036)",33,,2,3,11,17
"Divorciado(a) (037)",6,,1,1,4,
"Soltero(a) (038)",1324,80,1022,169,43,10
"Mujeres (040)",1543,33,926,426,135,23
"Conviviente (041)",581,1,314,213,48,5
"Separado(a) (042)",101,,42,38,20,1
"Casado(a) (043)",185,,40,92,47,6
"Viudo(a) (044)",20,,,6,5,9
"Divorciado(a) (045)",7,,2,3,2,
"Soltero(a) (046)",649,32,528,74,13,2
,,,,,,
"AREA RURAL (048)",384,20,224,73,49,18
"Conviviente (049)",147,1,71,44,22,9
"Separado(a) (050)",13,,5,4,4,
"Casado(a) (051)",43,,10,10,17,6
"Viudo(a) (052)",6,,,2,3,1
"Soltero(a) (054)",175,19,138,13,3,2
"Hombres (056)",287,13,159,57,41,17
"Conviviente (057)",114,,52,34,20,8
"Separado(a) (058)",10,,3,4,3,
"Casado(a) (059)",36,,9,7,14,6
"Viudo(a) (060)",4,,,2,1,1
"Soltero(a) (062)",123,13,95,10,3,2
"Mujeres (064)",97,7,65,16,8,1
"Conviviente (065)",33,1,19,10,2,1
"Separado(a) (066)",3,,2,,1,
"Casado(a) (067)",7,,1,3,3,
"Viudo(a) (068)",2,,,,2,
"Soltero(a) (070)",52,6,43,3,,
