"CUADRO Nº 17: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia MORROPON (000)",47136,6182,10275,23160,854,5842,823
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",63,62,,,1,,
"Profes., científicos e intelectuales (002)",2221,1994,,208,9,10,
"Técnicos de nivel medio y trab. asimilados (003)",915,648,,221,28,13,5
"Jefes y empleados de oficina (004)",874,865,,3,,6,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",5293,901,27,3715,117,532,1
"Agricult.trabaj.calif.agrop.y pesqueros (006)",13343,8,14,12783,532,6,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",2659,,775,1751,59,74,
"Obreros construc.,conf.,papel, fab., instr. (008)",3458,456,777,2119,69,37,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",16579,799,8317,1763,21,4862,817
"Otra (010)",99,99,,,,,
"Ocupación no especificada (011)",1632,350,365,597,18,302,
"Hombres (012)",36566,3339,9283,18807,737,4369,31
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",48,47,,,1,,
"Profes., científicos e intelectuales (014)",907,803,,95,7,2,
"Técnicos de nivel medio y trab. asimilados (015)",555,365,,158,21,10,1
"Jefes y empleados de oficina (016)",395,392,,1,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",2390,529,7,1665,61,128,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",12857,7,13,12319,513,5,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",2117,,698,1330,47,42,
"Obreros construc.,conf.,papel, fab., instr. (020)",3352,450,745,2057,68,32,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",13162,518,7566,955,8,4085,30
"Otra (022)",89,89,,,,,
"Ocupación no especificada (023)",694,139,254,227,11,63,
"Mujeres (024)",10570,2843,992,4353,117,1473,792
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",15,15,,,,,
"Profes., científicos e intelectuales (026)",1314,1191,,113,2,8,
"Técnicos de nivel medio y trab. asimilados (027)",360,283,,63,7,3,4
"Jefes y empleados de oficina (028)",479,473,,2,,4,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",2903,372,20,2050,56,404,1
"Agricult.trabaj.calif.agrop.y pesqueros (030)",486,1,1,464,19,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",542,,77,421,12,32,
"Obreros construc.,conf.,papel, fab., instr. (032)",106,6,32,62,1,5,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",3417,281,751,808,13,777,787
"Otra (034)",10,10,,,,,
"Ocupación no especificada (035)",938,211,111,370,7,239,
,,,,,,,
"URBANA (036)",28918,5461,6111,13917,614,2162,653
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",57,56,,,1,,
"Profes., científicos e intelectuales (038)",1884,1679,,187,9,9,
"Técnicos de nivel medio y trab. asimilados (039)",830,580,,208,26,11,5
"Jefes y empleados de oficina (040)",825,817,,2,,6,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",4601,816,25,3186,106,467,1
"Agricult.trabaj.calif.agrop.y pesqueros (042)",5590,6,10,5247,327,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (043)",2160,,533,1527,53,47,
"Obreros construc.,conf.,papel, fab., instr. (044)",2845,406,606,1742,60,31,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (045)",8876,716,4656,1410,17,1430,647
"Otra (046)",93,93,,,,,
"Ocupación no especificada (047)",1157,292,281,408,15,161,
"Hombres (048)",20800,2941,5436,10474,508,1417,24
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",43,42,,,1,,
"Profes., científicos e intelectuales (050)",768,669,,91,7,1,
"Técnicos de nivel medio y trab. asimilados (051)",503,327,,148,19,8,1
"Jefes y empleados de oficina (052)",366,364,,,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",2029,465,6,1398,55,105,
"Agricult.trabaj.calif.agrop.y pesqueros (054)",5396,6,9,5070,311,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (055)",1747,,467,1203,41,36,
"Obreros construc.,conf.,papel, fab., instr. (056)",2763,401,589,1686,60,27,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (057)",6577,465,4166,715,5,1203,23
"Otra (058)",83,83,,,,,
"Ocupación no especificada (059)",525,119,199,163,9,35,
"Mujeres (060)",8118,2520,675,3443,106,745,629
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",14,14,,,,,
"Profes., científicos e intelectuales (062)",1116,1010,,96,2,8,
"Técnicos de nivel medio y trab. asimilados (063)",327,253,,60,7,3,4
"Jefes y empleados de oficina (064)",459,453,,2,,4,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",2572,351,19,1788,51,362,1
"Agricult.trabaj.calif.agrop.y pesqueros (066)",194,,1,177,16,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (067)",413,,66,324,12,11,
"Obreros construc.,conf.,papel, fab., instr. (068)",82,5,17,56,,4,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (069)",2299,251,490,695,12,227,624
"Otra (070)",10,10,,,,,
"Ocupación no especificada (071)",632,173,82,245,6,126,
,,,,,,,
"RURAL (072)",18218,721,4164,9243,240,3680,170
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",6,6,,,,,
"Profes., científicos e intelectuales (074)",337,315,,21,,1,
"Técnicos de nivel medio y trab. asimilados (075)",85,68,,13,2,2,
"Jefes y empleados de oficina (076)",49,48,,1,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",692,85,2,529,11,65,
"Agricult.trabaj.calif.agrop.y pesqueros (078)",7753,2,4,7536,205,6,
"Obreros y oper.minas,cant.,ind.manuf.y otros (079)",499,,242,224,6,27,
"Obreros construc.,conf.,papel, fab., instr. (080)",613,50,171,377,9,6,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (081)",7703,83,3661,353,4,3432,170
"Otra (082)",6,6,,,,,
"Ocupación no especificada (083)",475,58,84,189,3,141,
"Hombres (084)",15766,398,3847,8333,229,2952,7
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",5,5,,,,,
"Profes., científicos e intelectuales (086)",139,134,,4,,1,
"Técnicos de nivel medio y trab. asimilados (087)",52,38,,10,2,2,
"Jefes y empleados de oficina (088)",29,28,,1,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",361,64,1,267,6,23,
"Agricult.trabaj.calif.agrop.y pesqueros (090)",7461,1,4,7249,202,5,
"Obreros y oper.minas,cant.,ind.manuf.y otros (091)",370,,231,127,6,6,
"Obreros construc.,conf.,papel, fab., instr. (092)",589,49,156,371,8,5,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (093)",6585,53,3400,240,3,2882,7
"Otra (094)",6,6,,,,,
"Ocupación no especificada (095)",169,20,55,64,2,28,
