"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia HUANCA SANCOS (000)",10620,10498,48,74
"Hombres (001)",5153,5103,16,34
"Mujeres (002)",5467,5395,32,40
"Menores de 1 año (003)",190,161,13,16
"Hombres (004)",101,88,4,9
"Mujeres (005)",89,73,9,7
"De 1 a 5 años (006)",1219,1149,14,56
"Hombres (007)",589,556,8,25
"Mujeres (008)",630,593,6,31
"De 6 a 14 años (009)",2287,2286,1,
"Hombres (010)",1177,1177,,
"Mujeres (011)",1110,1109,1,
"De 15 a 29 años (012)",2271,2270,1,
"Hombres (013)",1145,1144,1,
"Mujeres (014)",1126,1126,,
"De 30 a 44 años (015)",2005,2004,1,
"Hombres (016)",969,969,,
"Mujeres (017)",1036,1035,1,
"De 45 a 64 años (018)",1693,1691,2,
"Hombres (019)",787,786,1,
"Mujeres (020)",906,905,1,
"De 65 a más años (021)",955,937,16,2
"Hombres (022)",385,383,2,
"Mujeres (023)",570,554,14,2
,,,,
"URBANA (024)",7168,7097,29,42
"Hombres (025)",3473,3447,6,20
"Mujeres (026)",3695,3650,23,22
"Menores de 1 año (027)",124,105,12,7
"Hombres (028)",70,62,4,4
"Mujeres (029)",54,43,8,3
"De 1 a 5 años (030)",804,762,7,35
"Hombres (031)",378,360,2,16
"Mujeres (032)",426,402,5,19
"De 6 a 14 años (033)",1627,1626,1,
"Hombres (034)",850,850,,
"Mujeres (035)",777,776,1,
"De 15 a 29 años (036)",1515,1515,,
"Hombres (037)",775,775,,
"Mujeres (038)",740,740,,
"De 30 a 44 años (039)",1358,1358,,
"Hombres (040)",649,649,,
"Mujeres (041)",709,709,,
"De 45 a 64 años (042)",1095,1095,,
"Hombres (043)",497,497,,
"Mujeres (044)",598,598,,
"De 65 a más años (045)",645,636,9,
"Hombres (046)",254,254,,
"Mujeres (047)",391,382,9,
,,,,
"RURAL (048)",3452,3401,19,32
"Hombres (049)",1680,1656,10,14
"Mujeres (050)",1772,1745,9,18
"Menores de 1 año (051)",66,56,1,9
"Hombres (052)",31,26,,5
"Mujeres (053)",35,30,1,4
"De 1 a 5 años (054)",415,387,7,21
"Hombres (055)",211,196,6,9
"Mujeres (056)",204,191,1,12
"De 6 a 14 años (057)",660,660,,
"Hombres (058)",327,327,,
"Mujeres (059)",333,333,,
"De 15 a 29 años (060)",756,755,1,
"Hombres (061)",370,369,1,
"Mujeres (062)",386,386,,
"De 30 a 44 años (063)",647,646,1,
"Hombres (064)",320,320,,
"Mujeres (065)",327,326,1,
"De 45 a 64 años (066)",598,596,2,
"Hombres (067)",290,289,1,
"Mujeres (068)",308,307,1,
"De 65 a más años (069)",310,301,7,2
"Hombres (070)",131,129,2,
"Mujeres (071)",179,172,5,2
