"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia EL DORADO (000)",13708,11818,1325,412,153
"Agric., ganadería, caza y silvicultura (001)",11286,10028,1061,192,5
"Pesca (002)",2,2,,,
"Explotación de minas y canteras (003)",2,1,1,,
"Industrias manufactureras (004)",156,148,6,2,
"Suministro de electricidad, gas y agua (005)",9,1,1,7,
"Construcción (006)",156,105,35,14,2
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",542,518,22,2,
"Venta, mant.y rep. veh.autom y motoc. (008)",45,43,2,,
"Comercio al por mayor (009)",44,40,4,,
"Comercio al por menor (010)",453,435,16,2,
"Hoteles y restaurantes (011)",172,168,2,2,
"Trans., almac. y comunicaciones (012)",182,147,25,9,1
"Intermediación financiera (013)",6,3,2,,1
"Activid.inmobil., empres. y alquileres (014)",36,19,7,9,1
"Admin.pub. y defensa; p. segur soc.afil (015)",86,,,,86
"Enseñanza (016)",405,116,129,158,2
"Servicios sociales y de salud (017)",71,14,3,3,51
"Otras activ. serv.comun.soc y personales (018)",57,42,11,3,1
"Hogares privados con servicio doméstico (019)",275,275,,,
"Actividad economica no especificada (021)",265,231,20,11,3
"Hombres (022)",9889,8470,1021,301,97
"Agric., ganadería, caza y silvicultura (023)",8606,7612,834,158,2
"Pesca (024)",2,2,,,
"Explotación de minas y canteras (025)",2,1,1,,
"Industrias manufactureras (026)",116,111,3,2,
"Suministro de electricidad, gas y agua (027)",9,1,1,7,
"Construcción (028)",152,103,34,13,2
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",284,267,15,2,
"Venta, mant.y rep. veh.autom y motoc. (030)",41,39,2,,
"Comercio al por mayor (031)",28,26,2,,
"Comercio al por menor (032)",215,202,11,2,
"Hoteles y restaurantes (033)",24,23,1,,
"Trans., almac. y comunicaciones (034)",172,140,24,7,1
"Intermediación financiera (035)",4,2,1,,1
"Activid.inmobil., empres. y alquileres (036)",26,15,3,8,
"Admin.pub. y defensa; p. segur soc.afil (037)",67,,,,67
"Enseñanza (038)",232,56,81,93,2
"Servicios sociales y de salud (039)",34,10,1,2,21
"Otras activ. serv.comun.soc y personales (040)",31,20,9,2,
"Hogares privados con servicio doméstico (041)",14,14,,,
"Actividad economica no especificada (043)",114,93,13,7,1
"Mujeres (044)",3819,3348,304,111,56
