"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PICOTA (000)",37420,23181,14239
"Casa independiente (001)",31762,22596,9166
"Departamento en edificio (002)",9,9,
"Vivienda en quinta (003)",190,190,
"Vivienda en casa de vecindad (004)",108,108,
"Choza o cabaña (005)",5051,,5051
"Vivienda improvisada (006)",209,209,
"Local no dest.para hab. humana (007)",70,69,1
"Otro tipo (008)",21,,21
