"CUADRO Nº 17: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia SAN PABLO (000)",5923,679,1169,2832,24,1144,75
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",13,13,,,,,
"Profes., científicos e intelectuales (002)",491,431,,59,,1,
"Técnicos de nivel medio y trab. asimilados (003)",80,57,,23,,,
"Jefes y empleados de oficina (004)",81,80,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",262,17,10,204,1,30,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",2168,,4,2149,15,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",341,,64,235,2,40,
"Obreros construc.,conf.,papel, fab., instr. (008)",211,29,91,76,2,13,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",2142,32,981,64,,990,75
"Otra (010)",9,9,,,,,
"Ocupación no especificada (011)",125,11,19,22,4,69,
"Hombres (012)",4604,412,1054,2344,18,772,4
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",12,12,,,,,
"Profes., científicos e intelectuales (014)",265,230,,34,,1,
"Técnicos de nivel medio y trab. asimilados (015)",66,45,,21,,,
"Jefes y empleados de oficina (016)",52,52,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",102,10,1,80,1,10,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",1997,,3,1982,12,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",186,,58,111,2,15,
"Obreros construc.,conf.,papel, fab., instr. (020)",209,29,89,76,2,13,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",1679,24,896,30,,725,4
"Otra (022)",9,9,,,,,
"Ocupación no especificada (023)",27,1,7,10,1,8,
"Mujeres (024)",1319,267,115,488,6,372,71
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",1,1,,,,,
"Profes., científicos e intelectuales (026)",226,201,,25,,,
"Técnicos de nivel medio y trab. asimilados (027)",14,12,,2,,,
"Jefes y empleados de oficina (028)",29,28,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",160,7,9,124,,20,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",171,,1,167,3,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",155,,6,124,,25,
"Obreros construc.,conf.,papel, fab., instr. (032)",2,,2,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",463,8,85,34,,265,71
"Ocupación no especificada (035)",98,10,12,12,3,61,
,,,,,,,
"URBANA (036)",1184,447,228,399,8,77,25
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",9,9,,,,,
"Profes., científicos e intelectuales (038)",324,295,,28,,1,
"Técnicos de nivel medio y trab. asimilados (039)",54,38,,16,,,
"Jefes y empleados de oficina (040)",56,55,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",176,10,1,144,,21,
"Agricult.trabaj.calif.agrop.y pesqueros (042)",107,,,101,6,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (043)",82,,23,50,2,7,
"Obreros construc.,conf.,papel, fab., instr. (044)",76,12,41,22,,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (045)",270,16,156,35,,38,25
"Otra (046)",7,7,,,,,
"Ocupación no especificada (047)",23,5,7,3,,8,
"Hombres (048)",748,251,199,249,7,42,
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",9,9,,,,,
"Profes., científicos e intelectuales (050)",157,140,,16,,1,
"Técnicos de nivel medio y trab. asimilados (051)",45,31,,14,,,
"Jefes y empleados de oficina (052)",35,35,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",66,6,,54,,6,
"Agricult.trabaj.calif.agrop.y pesqueros (054)",93,,,88,5,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (055)",70,,23,40,2,5,
"Obreros construc.,conf.,papel, fab., instr. (056)",74,12,39,22,,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (057)",183,11,133,14,,25,
"Otra (058)",7,7,,,,,
"Ocupación no especificada (059)",9,,4,1,,4,
"Mujeres (060)",436,196,29,150,1,35,25
"Profes., científicos e intelectuales (062)",167,155,,12,,,
"Técnicos de nivel medio y trab. asimilados (063)",9,7,,2,,,
"Jefes y empleados de oficina (064)",21,20,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",110,4,1,90,,15,
"Agricult.trabaj.calif.agrop.y pesqueros (066)",14,,,13,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (067)",12,,,10,,2,
"Obreros construc.,conf.,papel, fab., instr. (068)",2,,2,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (069)",87,5,23,21,,13,25
"Ocupación no especificada (071)",14,5,3,2,,4,
,,,,,,,
"RURAL (072)",4739,232,941,2433,16,1067,50
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",4,4,,,,,
"Profes., científicos e intelectuales (074)",167,136,,31,,,
"Técnicos de nivel medio y trab. asimilados (075)",26,19,,7,,,
"Jefes y empleados de oficina (076)",25,25,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",86,7,9,60,1,9,
"Agricult.trabaj.calif.agrop.y pesqueros (078)",2061,,4,2048,9,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (079)",259,,41,185,,33,
"Obreros construc.,conf.,papel, fab., instr. (080)",135,17,50,54,2,12,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (081)",1872,16,825,29,,952,50
"Otra (082)",2,2,,,,,
"Ocupación no especificada (083)",102,6,12,19,4,61,
"Hombres (084)",3856,161,855,2095,11,730,4
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",3,3,,,,,
"Profes., científicos e intelectuales (086)",108,90,,18,,,
"Técnicos de nivel medio y trab. asimilados (087)",21,14,,7,,,
"Jefes y empleados de oficina (088)",17,17,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",36,4,1,26,1,4,
"Agricult.trabaj.calif.agrop.y pesqueros (090)",1904,,3,1894,7,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (091)",116,,35,71,,10,
"Obreros construc.,conf.,papel, fab., instr. (092)",135,17,50,54,2,12,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (093)",1496,13,763,16,,700,4
"Otra (094)",2,2,,,,,
"Ocupación no especificada (095)",18,1,3,9,1,4,
"Mujeres (096)",883,71,86,338,5,337,46
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (097)",1,1,,,,,
"Profes., científicos e intelectuales (098)",59,46,,13,,,
"Técnicos de nivel medio y trab. asimilados (099)",5,5,,,,,
"Jefes y empleados de oficina (100)",8,8,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (101)",50,3,8,34,,5,
"Agricult.trabaj.calif.agrop.y pesqueros (102)",157,,1,154,2,,
