"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia EL COLLAO (000)",31265,2597,1249,19989,140,7175,115
"Conviviente (001)",6083,565,325,4069,31,1073,20
"Separado(a) (002)",678,42,37,562,4,31,2
"Casado(a) (003)",16611,1191,566,10899,72,3866,17
"Viudo(a) (004)",2131,37,33,1933,6,119,3
"Divorciado(a) (005)",159,9,13,125,1,11,
"Soltero(a) (006)",5603,753,275,2401,26,2075,73
"Hombres (008)",18663,1926,1066,13329,107,2220,15
"Conviviente (009)",3655,403,277,2721,24,228,2
"Separado(a) (010)",248,17,25,189,2,14,1
"Casado(a) (011)",10247,979,485,8059,59,663,2
"Viudo(a) (012)",948,23,25,838,2,60,
"Divorciado(a) (013)",76,4,11,58,,3,
"Soltero(a) (014)",3489,500,243,1464,20,1252,10
"Mujeres (016)",12602,671,183,6660,33,4955,100
"Conviviente (017)",2428,162,48,1348,7,845,18
"Separado(a) (018)",430,25,12,373,2,17,1
"Casado(a) (019)",6364,212,81,2840,13,3203,15
"Viudo(a) (020)",1183,14,8,1095,4,59,3
"Divorciado(a) (021)",83,5,2,67,1,8,
"Soltero(a) (022)",2114,253,32,937,6,823,63
,,,,,,,
"URBANA (024)",9107,2056,661,5317,89,910,74
"Conviviente (025)",2290,466,198,1399,20,194,13
"Separado(a) (026)",256,37,18,186,2,11,2
"Casado(a) (027)",4235,897,300,2575,46,407,10
"Viudo(a) (028)",315,28,9,263,3,9,3
"Divorciado(a) (029)",45,8,3,33,1,,
"Soltero(a) (030)",1966,620,133,861,17,289,46
"Hombres (032)",5339,1468,554,2943,65,296,13
"Conviviente (033)",1343,318,167,785,15,57,1
"Separado(a) (034)",77,13,14,46,,3,1
"Casado(a) (035)",2583,708,245,1507,37,84,2
"Viudo(a) (036)",126,16,7,100,,3,
"Divorciado(a) (037)",20,3,3,14,,,
"Soltero(a) (038)",1190,410,118,491,13,149,9
"Mujeres (040)",3768,588,107,2374,24,614,61
"Conviviente (041)",947,148,31,614,5,137,12
"Separado(a) (042)",179,24,4,140,2,8,1
"Casado(a) (043)",1652,189,55,1068,9,323,8
"Viudo(a) (044)",189,12,2,163,3,6,3
"Divorciado(a) (045)",25,5,,19,1,,
"Soltero(a) (046)",776,210,15,370,4,140,37
,,,,,,,
"RURAL (048)",22158,541,588,14672,51,6265,41
"Conviviente (049)",3793,99,127,2670,11,879,7
"Separado(a) (050)",422,5,19,376,2,20,
"Casado(a) (051)",12376,294,266,8324,26,3459,7
"Viudo(a) (052)",1816,9,24,1670,3,110,
"Divorciado(a) (053)",114,1,10,92,,11,
"Soltero(a) (054)",3637,133,142,1540,9,1786,27
"Hombres (056)",13324,458,512,10386,42,1924,2
"Conviviente (057)",2312,85,110,1936,9,171,1
"Separado(a) (058)",171,4,11,143,2,11,
"Casado(a) (059)",7664,271,240,6552,22,579,
"Viudo(a) (060)",822,7,18,738,2,57,
"Divorciado(a) (061)",56,1,8,44,,3,
"Soltero(a) (062)",2299,90,125,973,7,1103,1
"Mujeres (064)",8834,83,76,4286,9,4341,39
"Conviviente (065)",1481,14,17,734,2,708,6
"Separado(a) (066)",251,1,8,233,,9,
"Casado(a) (067)",4712,23,26,1772,4,2880,7
"Viudo(a) (068)",994,2,6,932,1,53,
"Divorciado(a) (069)",58,,2,48,,8,
"Soltero(a) (070)",1338,43,17,567,2,683,26
