"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PASCO (000)",49019,29048,4650,5498,9823
"Agric., ganadería, caza y silvicultura (001)",11901,11351,401,98,51
"Pesca (002)",16,14,2,,
"Explotación de minas y canteras (003)",7910,896,715,1644,4655
"Industrias manufactureras (004)",1773,1296,212,156,109
"Suministro de electricidad, gas y agua (005)",77,16,8,43,10
"Construcción (006)",3631,1621,631,733,646
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",6082,5496,329,162,95
"Venta, mant.y rep. veh.autom y motoc. (008)",825,506,127,105,87
"Comercio al por mayor (009)",237,198,20,11,8
"Comercio al por menor (010)",5020,4792,182,46,
"Hoteles y restaurantes (011)",1800,1403,238,115,44
"Trans., almac. y comunicaciones (012)",3226,2404,283,288,251
"Intermediación financiera (013)",75,22,11,31,11
"Activid.inmobil., empres. y alquileres (014)",2333,928,332,528,545
"Admin.pub. y defensa; p. segur soc.afil (015)",1623,,,,1623
"Enseñanza (016)",3624,527,980,1233,884
"Servicios sociales y de salud (017)",953,231,61,40,621
"Otras activ. serv.comun.soc y personales (018)",1118,850,134,99,35
"Hogares privados con servicio doméstico (019)",721,721,,,
"Organiz. y organos extraterritoriales (020)",1,,,1,
"Actividad economica no especificada (021)",2155,1272,313,327,243
"Hombres (022)",35763,19763,3441,4450,8109
"Agric., ganadería, caza y silvicultura (023)",9735,9283,323,81,48
"Pesca (024)",12,11,1,,
"Explotación de minas y canteras (025)",7671,860,675,1588,4548
"Industrias manufactureras (026)",1433,1024,175,141,93
"Suministro de electricidad, gas y agua (027)",72,16,7,39,10
"Construcción (028)",3498,1590,603,678,627
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",2996,2525,237,143,91
"Venta, mant.y rep. veh.autom y motoc. (030)",787,474,123,104,86
"Comercio al por mayor (031)",126,98,14,9,5
"Comercio al por menor (032)",2083,1953,100,30,
"Hoteles y restaurantes (033)",629,386,129,85,29
"Trans., almac. y comunicaciones (034)",2975,2194,262,275,244
"Intermediación financiera (035)",38,10,5,15,8
"Activid.inmobil., empres. y alquileres (036)",1749,624,226,441,458
"Admin.pub. y defensa; p. segur soc.afil (037)",1040,,,,1040
"Enseñanza (038)",1709,138,454,623,494
"Servicios sociales y de salud (039)",340,102,26,15,197
