"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia CAJAMARCA",,,,,,
"Viviendas particulares (001)",70382,67349,2231,607,164,31
"Ocupantes presentes (002)",308406,279779,18312,7184,2546,585
"Casa independiente",,,,,,
"Viviendas particulares (004)",63400,60832,1958,474,114,22
"Ocupantes presentes (005)",281514,257489,16182,5654,1774,415
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",1639,1510,85,38,5,1
"Ocupantes presentes (008)",6113,4963,648,410,69,23
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",2852,2612,139,66,31,4
"Ocupantes presentes (011)",10650,8187,1088,802,490,83
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",1125,1038,41,28,14,4
"Ocupantes presentes (014)",4607,3696,326,308,213,64
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",1128,1126,2,,,
"Ocupantes presentes (017)",4683,4669,14,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",72,69,3,,,
"Ocupantes presentes (020)",314,289,25,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",99,95,3,1,,
"Ocupantes presentes (023)",321,282,29,10,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",67,67,,,,
"Ocupantes presentes (026)",204,204,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",37801,34954,2073,584,159,31
"Ocupantes presentes (029)",170083,142991,17116,6913,2478,585
"Casa independiente",,,,,,
"Viviendas particulares (031)",31962,29578,1802,451,109,22
"Ocupantes presentes (032)",147912,125408,15000,5383,1706,415
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",1639,1510,85,38,5,1
"Ocupantes presentes (035)",6113,4963,648,410,69,23
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",2852,2612,139,66,31,4
"Ocupantes presentes (038)",10650,8187,1088,802,490,83
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",1125,1038,41,28,14,4
"Ocupantes presentes (041)",4607,3696,326,308,213,64
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",72,69,3,,,
"Ocupantes presentes (047)",314,289,25,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",85,81,3,1,,
"Ocupantes presentes (050)",285,246,29,10,,
"Otro tipo",,,,,,
"Viviendas particulares (052)",66,66,,,,
"Ocupantes presentes (053)",202,202,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",32581,32395,158,23,5,
"Ocupantes presentes (056)",138323,136788,1196,271,68,
"Casa independiente",,,,,,
"Viviendas particulares (058)",31438,31254,156,23,5,
"Ocupantes presentes (059)",133602,132081,1182,271,68,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",1128,1126,2,,,
"Ocupantes presentes (071)",4683,4669,14,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",14,14,,,,
"Ocupantes presentes (077)",36,36,,,,
"Otro tipo",,,,,,
"Viviendas particulares (079)",1,1,,,,
"Ocupantes presentes (080)",2,2,,,,
