"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CHANCHAMAYO (000)",155828,21647,4271,60046,51091,5267,4645,3327,5534
"Jefe o Jefa (001)",43091,4662,22,15521,15122,1735,1996,1183,2850
"Esposa(o)/ compa¤era(o) (002)",25734,4172,71,9622,8306,807,1072,466,1218
"Hijo(a)/ hijastro(a) (003)",64126,9261,3428,26788,19679,1957,989,1205,819
"Yerno/ nuera (004)",1726,33,5,339,958,126,95,69,101
"Nieto(a) (005)",4792,1290,461,2073,847,50,21,34,16
"Padres/ suegros (006)",1553,713,,620,173,6,16,8,17
"Otro(a) pariente (007)",10950,1213,262,3802,4386,444,315,239,289
"Trabajador(a) del hogar (008)",323,35,1,100,173,10,,1,3
"Pensionista (009)",228,14,,64,84,8,10,18,30
"Otro(a) no pariente (010)",3305,254,21,1117,1363,124,131,104,191
"Hombres (012)",81771,9231,2101,31365,28951,2859,2330,1913,3021
"Jefe o Jefa (013)",32884,2656,12,12154,12195,1324,1441,943,2159
"Esposa(o)/ compa¤era(o) (014)",1734,102,4,485,786,92,91,58,116
"Hijo(a)/ hijastro(a) (015)",34449,4846,1715,14170,11191,1001,485,657,384
"Yerno/ nuera (016)",793,11,2,132,442,59,50,31,66
"Nieto(a) (017)",2486,673,232,1066,450,27,14,17,7
"Padres/ suegros (018)",608,170,,326,84,4,6,5,13
"Otro(a) pariente (019)",6285,596,131,2142,2696,265,169,128,158
"Trabajador(a) del hogar (020)",58,3,,12,37,5,,1,
"Pensionista (021)",153,11,,46,57,5,8,11,15
"Otro(a) no pariente (022)",2321,163,5,832,1013,77,66,62,103
"Mujeres (024)",74057,12416,2170,28681,22140,2408,2315,1414,2513
"Jefe o Jefa (025)",10207,2006,10,3367,2927,411,555,240,691
"Esposa(o)/ compa¤era(o) (026)",24000,4070,67,9137,7520,715,981,408,1102
"Hijo(a)/ hijastro(a) (027)",29677,4415,1713,12618,8488,956,504,548,435
"Yerno/ nuera (028)",933,22,3,207,516,67,45,38,35
"Nieto(a) (029)",2306,617,229,1007,397,23,7,17,9
"Padres/ suegros (030)",945,543,,294,89,2,10,3,4
"Otro(a) pariente (031)",4665,617,131,1660,1690,179,146,111,131
"Trabajador(a) del hogar (032)",265,32,1,88,136,5,,,3
"Pensionista (033)",75,3,,18,27,3,2,7,15
"Otro(a) no pariente (034)",984,91,16,285,350,47,65,42,88
,,,,,,,,,
"URBANA (036)",88728,9151,2829,29118,32315,4065,3756,2756,4738
"Jefe o Jefa (037)",23754,1614,15,6528,9241,1357,1607,975,2417
"Esposa(o)/ compa¤era(o) (038)",13856,1306,41,4150,5280,656,908,409,1106
"Hijo(a)/ hijastro(a) (039)",36451,4306,2241,13749,12337,1422,762,952,682
"Yerno/ nuera (040)",1121,13,3,173,608,103,80,59,82
"Nieto(a) (041)",3071,772,334,1266,590,44,18,32,15
"Padres/ suegros (042)",1054,415,,446,155,5,10,8,15
"Otro(a) pariente (043)",7195,596,180,2212,3147,366,247,207,240
