"CUADRO Nº 11: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia DOS DE MAYO (000)",10909,57,226,599,1091,2114,4679,2143
"De 12 a 14 años (001)",12,,,,,,2,10
"De 15 a 19 años (002)",353,,,,,,225,128
"De 20 a 24 años (003)",1240,,,,,2,803,435
"De 25 a 29 años (004)",1281,,,,,49,914,318
"De 30 a 34 años (005)",1270,,,,,164,921,185
"De 35 a 39 años (006)",1323,,,,8,304,846,165
"De 40 a 44 años (007)",1115,,,,34,401,577,103
"De 45 a 49 años (008)",973,,,2,80,464,330,97
"De 50 y más años (009)",3342,57,226,597,969,730,61,702
"Conviviente (010)",3764,4,10,51,127,542,2320,710
"De 12 a 14 años (011)",7,,,,,,1,6
"De 15 a 19 años (012)",223,,,,,,142,81
"De 20 a 24 años (013)",737,,,,,2,518,217
"De 25 a 29 años (014)",717,,,,,28,556,133
"De 30 a 34 años (015)",617,,,,,76,473,68
"De 35 a 39 años (016)",554,,,,1,124,359,70
"De 40 a 44 años (017)",336,,,,14,107,181,34
"De 45 a 49 años (018)",222,,,2,13,105,78,24
"De 50 y más años (019)",351,4,10,49,99,100,12,77
"Separado(a) (020)",712,,10,22,53,163,310,154
"De 12 a 14 años (021)",1,,,,,,1,
"De 15 a 19 años (022)",54,,,,,,34,20
"De 20 a 24 años (023)",111,,,,,,79,32
"De 25 a 29 años (024)",98,,,,,5,66,27
"De 30 a 34 años (025)",82,,,,,18,47,17
"De 35 a 39 años (026)",88,,,,,35,41,12
"De 40 a 44 años (027)",68,,,,2,29,31,6
"De 45 a 49 años (028)",61,,,,10,30,10,11
"De 50 y más años (029)",149,,10,22,41,46,1,29
"Casado(a) (030)",4342,12,63,269,608,1164,1693,533
"De 12 a 14 años (031)",1,,,,,,,1
"De 15 a 19 años (032)",22,,,,,,10,12
"De 20 a 24 años (033)",137,,,,,,107,30
"De 25 a 29 años (034)",273,,,,,11,229,33
"De 30 a 34 años (035)",438,,,,,52,343,43
"De 35 a 39 años (036)",567,,,,3,122,397,45
"De 40 a 44 años (037)",625,,,,12,224,342,47
"De 45 a 49 años (038)",592,,,,45,280,225,42
"De 50 y más años (039)",1687,12,63,269,548,475,40,280
"Viudo(a) (040)",1262,40,133,244,268,182,92,303
"De 20 a 24 años (043)",5,,,,,,4,1
"De 25 a 29 años (044)",14,,,,,1,8,5
"De 30 a 34 años (045)",29,,,,,3,20,6
"De 35 a 39 años (046)",43,,,,1,12,23,7
"De 40 a 44 años (047)",43,,,,1,21,16,5
"De 45 a 49 años (048)",70,,,,8,41,13,8
"De 50 y más años (049)",1058,40,133,244,258,104,8,271
"Divorciado(a) (050)",56,,1,6,9,7,19,14
