"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia DANIEL ALCIDES CARRION (000)",45384,1903,4693,5924,5455,8184,6204,9558,3463
"Sabe leer y escribir (001)",38536,,3722,5892,5413,8042,5883,7777,1807
"No sabe leer y escribir (002)",6848,1903,971,32,42,142,321,1781,1656
"Hombres (004)",22774,1013,2379,3128,2747,3979,3067,4760,1701
"Sabe leer y escribir (005)",20205,,1863,3112,2729,3915,2966,4316,1304
"No sabe leer y escribir (006)",2569,1013,516,16,18,64,101,444,397
"Mujeres (008)",22610,890,2314,2796,2708,4205,3137,4798,1762
"Sabe leer y escribir (009)",18331,,1859,2780,2684,4127,2917,3461,503
"No sabe leer y escribir (010)",4279,890,455,16,24,78,220,1337,1259
,,,,,,,,,
"URBANA (012)",26708,998,2485,3297,3289,4822,3739,5844,2234
"Sabe leer y escribir (013)",22865,,1988,3281,3268,4757,3561,4812,1198
"No sabe leer y escribir (014)",3843,998,497,16,21,65,178,1032,1036
"Hombres (016)",13253,536,1234,1705,1682,2325,1841,2838,1092
"Sabe leer y escribir (017)",11888,,983,1697,1672,2290,1781,2604,861
"No sabe leer y escribir (018)",1365,536,251,8,10,35,60,234,231
"Mujeres (020)",13455,462,1251,1592,1607,2497,1898,3006,1142
"Sabe leer y escribir (021)",10977,,1005,1584,1596,2467,1780,2208,337
"No sabe leer y escribir (022)",2478,462,246,8,11,30,118,798,805
,,,,,,,,,
"RURAL (024)",18676,905,2208,2627,2166,3362,2465,3714,1229
"Sabe leer y escribir (025)",15671,,1734,2611,2145,3285,2322,2965,609
"No sabe leer y escribir (026)",3005,905,474,16,21,77,143,749,620
"Hombres (028)",9521,477,1145,1423,1065,1654,1226,1922,609
"Sabe leer y escribir (029)",8317,,880,1415,1057,1625,1185,1712,443
"No sabe leer y escribir (030)",1204,477,265,8,8,29,41,210,166
"Mujeres (032)",9155,428,1063,1204,1101,1708,1239,1792,620
"Sabe leer y escribir (033)",7354,,854,1196,1088,1660,1137,1253,166
"No sabe leer y escribir (034)",1801,428,209,8,13,48,102,539,454
