"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PUNO (000)",93680,69421,6393,5561,12305
"Agric., ganadería, caza y silvicultura (001)",33994,32848,1002,96,48
"Pesca (002)",775,733,17,12,13
"Explotación de minas y canteras (003)",501,131,75,103,192
"Industrias manufactureras (004)",7718,6742,622,196,158
"Suministro de electricidad, gas y agua (005)",228,27,7,110,84
"Construcción (006)",4699,3443,577,459,220
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",11773,11078,495,172,28
"Venta, mant.y rep. veh.autom y motoc. (008)",866,733,87,34,12
"Comercio al por mayor (009)",426,327,53,30,16
"Comercio al por menor (010)",10481,10018,355,108,
"Hoteles y restaurantes (011)",3452,2735,409,234,74
"Trans., almac. y comunicaciones (012)",6206,5027,540,420,219
"Intermediación financiera (013)",486,79,44,224,139
"Activid.inmobil., empres. y alquileres (014)",2967,1749,378,439,401
"Admin.pub. y defensa; p. segur soc.afil (015)",5800,,,,5800
"Enseñanza (016)",8218,1007,1657,2653,2901
"Servicios sociales y de salud (017)",2388,423,75,104,1786
"Otras activ. serv.comun.soc y personales (018)",1999,1299,346,238,116
"Hogares privados con servicio doméstico (019)",1030,1030,,,
"Organiz. y organos extraterritoriales (020)",10,,,,10
"Actividad economica no especificada (021)",1436,1070,149,101,116
"Hombres (022)",52386,36782,4031,3473,8100
"Agric., ganadería, caza y silvicultura (023)",18867,18166,595,73,33
"Pesca (024)",574,546,16,7,5
"Explotación de minas y canteras (025)",480,122,72,101,185
"Industrias manufactureras (026)",3174,2680,330,95,69
"Suministro de electricidad, gas y agua (027)",190,23,7,98,62
"Construcción (028)",4595,3396,570,419,210
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",4044,3664,257,103,20
"Venta, mant.y rep. veh.autom y motoc. (030)",762,648,79,24,11
"Comercio al por mayor (031)",211,158,27,17,9
"Comercio al por menor (032)",3071,2858,151,62,
"Hoteles y restaurantes (033)",1264,834,225,153,52
"Trans., almac. y comunicaciones (034)",5294,4340,431,331,192
"Intermediación financiera (035)",272,46,23,124,79
"Activid.inmobil., empres. y alquileres (036)",2139,1259,270,309,301
"Admin.pub. y defensa; p. segur soc.afil (037)",4308,,,,4308
"Enseñanza (038)",4508,409,890,1424,1785
"Servicios sociales y de salud (039)",934,209,37,42,646
