"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia TALARA (000)",49736,110515,103732,,2228,93.9,2
"De 12 a 14 años (001)",4025,20,19,,1,95,5
"De 15 a 19 años (002)",6262,907,885,271,97.6,29.9,
"De 20 a 24 años (003)",5874,4459,4378,641,98.2,14.4,
"De 25 a 29 años (004)",5477,7816,7634,571,97.7,7.3,
"De 30 a 34 años (005)",4745,10058,9807,421,97.5,4.2,
"De 35 a 39 años (006)",4335,11550,11180,228,96.8,2,
"De 40 a 44 años (007)",4269,12780,12233,83,95.7,0.6,
"De 45 a 49 años (008)",3874,13001,12318,12,94.7,0.1,
"De 50 y más años (009)",10875,49924,45278,,90.7,,
"Sin nivel (010)",1619,7802,6713,39,86,0.5,
"De 12 a 14 años (011)",29,,,,,,
"De 15 a 19 años (012)",46,3,3,1,100,33.3,
"De 20 a 24 años (013)",83,54,52,9,96.3,16.7,
"De 25 a 29 años (014)",58,82,81,9,98.8,11,
"De 30 a 34 años (015)",96,217,210,7,96.8,3.2,
"De 35 a 39 años (016)",96,311,296,7,95.2,2.3,
"De 40 a 44 años (017)",125,494,454,4,91.9,0.8,
"De 45 a 49 años (018)",137,631,566,2,89.7,0.3,
"De 50 y más años (019)",949,6010,5051,,84,,
"Educacion Inicial (020)",73,61,57,7,93.4,11.5,
"De 12 a 14 años (021)",15,,,,,,
"De 15 a 19 años (022)",20,2,2,,100,,
"De 20 a 24 años (023)",18,15,15,5,100,33.3,
"De 25 a 29 años (024)",8,11,11,1,100,9.1,
"De 30 a 34 años (025)",4,7,6,1,85.7,14.3,
"De 35 a 39 años (026)",8,26,23,,88.5,,
"Primaria (030)",13579,44971,41477,446,92.2,1,
"De 12 a 14 años (031)",1617,12,12,1,100,8.3,
"De 15 a 19 años (032)",727,165,158,46,95.8,27.9,
"De 20 a 24 años (033)",768,921,896,118,97.3,12.8,
"De 25 a 29 años (034)",871,1703,1644,105,96.5,6.2,
"De 30 a 34 años (035)",1018,2823,2724,85,96.5,3,
"De 35 a 39 años (036)",1191,3880,3707,65,95.5,1.7,
"De 40 a 44 años (037)",1179,4344,4125,26,95,0.6,
"De 45 a 49 años (038)",1179,4939,4600,,93.1,,
"De 50 y más años (039)",5029,26184,23611,,90.2,,
