"CUADRO Nº 15: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia BAGUA (000)",25055,3756,4822,10690,613,3856,502,816
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",55,55,,,,,,
"Profes., científicos e intelectuales (002)",1896,1666,,214,12,4,,
"Técnicos de nivel medio y trab. asimilados (003)",463,323,,110,24,5,1,
"Jefes y empleados de oficina (004)",502,497,,4,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1989,364,12,1257,56,300,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",7516,3,1,7052,460,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",728,,190,497,21,20,,
"Obreros construc.,conf.,papel, fab., instr. (008)",1404,197,385,776,22,24,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",8860,453,4035,570,7,3294,501,
"Otra (010)",75,75,,,,,,
"Ocupaciñn no especificada (011)",751,123,199,210,11,208,,
"Desocupado (012)",816,,,,,,,816
"Hombres (013)",18222,2035,4320,8549,500,2194,21,603
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",40,40,,,,,,
"Profes., científicos e intelectuales (015)",998,848,,138,8,4,,
"Técnicos de nivel medio y trab. asimilados (016)",295,187,,87,19,2,,
"Jefes y empleados de oficina (017)",233,230,,2,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",941,186,6,648,29,72,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",6572,3,1,6174,394,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",627,,177,415,19,16,,
"Obreros construc.,conf.,papel, fab., instr. (021)",1381,192,378,766,21,24,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (022)",6159,222,3618,254,4,2040,21,
"Otra (023)",70,70,,,,,,
"Ocupaciñn no especificada (024)",303,57,140,65,6,35,,
"Desocupado (025)",603,,,,,,,603
"Mujeres (026)",6833,1721,502,2141,113,1662,481,213
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",15,15,,,,,,
"Profes., científicos e intelectuales (028)",898,818,,76,4,,,
"Técnicos de nivel medio y trab. asimilados (029)",168,136,,23,5,3,1,
"Jefes y empleados de oficina (030)",269,267,,2,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",1048,178,6,609,27,228,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",944,,,878,66,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",101,,13,82,2,4,,
"Obreros construc.,conf.,papel, fab., instr. (034)",23,5,7,10,1,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (035)",2701,231,417,316,3,1254,480,
"Otra (036)",5,5,,,,,,
"Ocupaciñn no especificada (037)",448,66,59,145,5,173,,
"Desocupado (038)",213,,,,,,,213
,,,,,,,,
"URBANA (039)",12662,3299,1952,5154,326,1012,400,519
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",41,41,,,,,,
"Profes., científicos e intelectuales (041)",1569,1353,,200,12,4,,
"Técnicos de nivel medio y trab. asimilados (042)",412,280,,105,22,5,,
"Jefes y empleados de oficina (043)",474,469,,4,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",1846,347,8,1155,55,281,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",2049,1,1,1870,177,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",642,,165,438,21,18,,
"Obreros construc.,conf.,papel, fab., instr. (047)",1269,192,325,712,22,18,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (048)",3277,425,1283,543,7,619,400,
"Otra (049)",73,73,,,,,,
"Ocupaciñn no especificada (050)",491,118,170,127,10,66,,
"Desocupado (051)",519,,,,,,,519
"Hombres (052)",8614,1747,1761,3889,270,565,16,366
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",30,30,,,,,,
"Profes., científicos e intelectuales (054)",797,653,,132,8,4,,
"Técnicos de nivel medio y trab. asimilados (055)",260,157,,84,17,2,,
"Jefes y empleados de oficina (056)",214,211,,2,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",867,178,5,589,28,67,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",1896,1,1,1726,168,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",548,,153,361,19,15,,
"Obreros construc.,conf.,papel, fab., instr. (060)",1246,187,318,702,21,18,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (061)",2047,205,1152,239,4,431,16,
"Otra (062)",68,68,,,,,,
"Ocupaciñn no especificada (063)",275,57,132,54,5,27,,
"Desocupado (064)",366,,,,,,,366
"Mujeres (065)",4048,1552,191,1265,56,447,384,153
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",11,11,,,,,,
"Profes., científicos e intelectuales (067)",772,700,,68,4,,,
"Técnicos de nivel medio y trab. asimilados (068)",152,123,,21,5,3,,
"Jefes y empleados de oficina (069)",260,258,,2,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",979,169,3,566,27,214,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",153,,,144,9,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",94,,12,77,2,3,,
"Obreros construc.,conf.,papel, fab., instr. (073)",23,5,7,10,1,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (074)",1230,220,131,304,3,188,384,
"Otra (075)",5,5,,,,,,
"Ocupaciñn no especificada (076)",216,61,38,73,5,39,,
"Desocupado (077)",153,,,,,,,153
,,,,,,,,
"RURAL (078)",12393,457,2870,5536,287,2844,102,297
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",14,14,,,,,,
"Profes., científicos e intelectuales (080)",327,313,,14,,,,
"Técnicos de nivel medio y trab. asimilados (081)",51,43,,5,2,,1,
"Jefes y empleados de oficina (082)",28,28,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",143,17,4,102,1,19,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",5467,2,,5182,283,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",86,,25,59,,2,,
"Obreros construc.,conf.,papel, fab., instr. (086)",135,5,60,64,,6,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (087)",5583,28,2752,27,,2675,101,
"Otra (088)",2,2,,,,,,
"Ocupaciñn no especificada (089)",260,5,29,83,1,142,,
"Desocupado (090)",297,,,,,,,297
"Hombres (091)",9608,288,2559,4660,230,1629,5,237
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",10,10,,,,,,
"Profes., científicos e intelectuales (093)",201,195,,6,,,,
"Técnicos de nivel medio y trab. asimilados (094)",35,30,,3,2,,,
"Jefes y empleados de oficina (095)",19,19,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",74,8,1,59,1,5,,
