"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia HUAMANGA (000)",52332,217703,36980,157988,15352,59715
"Casa independiente (001)",46735,197433,33149,144157,13586,53276
"Departamento en edificio (002)",656,2347,656,2347,,
"Vivienda en quinta (003)",1815,6808,1815,6808,,
"Vivienda en casa de vecindad (004)",1306,4471,1306,4471,,
"Choza o cabaña (005)",1754,6404,,,1754,6404
"Vivienda improvisada (006)",15,94,15,94,,
"Local no dest.para hab. humana (007)",46,136,35,102,11,34
"Otro tipo (008)",5,10,4,9,1,1
