"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia EL COLLAO (000)",21954,20768,105,4130,4524,3571,5085,2525,716,112,1186,69734
"De 12 a 14 años (001)",26,14,3,9,2,,,,,,12,13
"De 15 a 19 años (002)",437,350,6,288,41,9,6,,,,87,421
"De 20 a 24 años (003)",2030,1606,15,1009,454,105,19,4,,,424,2339
"De 25 a 29 años (004)",2708,2393,14,907,944,398,121,8,1,,315,4551
"De 30 a 34 años (005)",2441,2309,15,532,822,550,342,45,3,,132,5591
"De 35 a 39 años (006)",2451,2380,6,322,690,598,607,133,23,1,71,7188
"De 40 a 44 años (007)",2096,2066,8,241,414,462,616,274,45,6,30,7341
"De 45 a 49 años (008)",1926,1909,5,156,293,356,668,311,106,14,17,7779
"De 50 y más años (009)",7839,7741,33,666,864,1093,2706,1750,538,91,98,34511
"Conviviente (010)",4622,4422,26,1604,1273,699,567,196,46,11,200,10437
"De 12 a 14 años (011)",18,8,3,4,1,,,,,,10,6
"De 15 a 19 años (012)",304,237,4,196,30,4,3,,,,67,280
"De 20 a 24 años (013)",946,875,8,558,245,51,9,4,,,71,1265
"De 25 a 29 años (014)",1034,1007,4,408,367,176,48,4,,,27,1895
"De 30 a 34 años (015)",791,780,2,196,293,166,106,16,1,,11,1835
"De 35 a 39 años (016)",608,599,1,110,183,130,145,24,6,,9,1700
"De 40 a 44 años (017)",312,311,,44,60,70,80,50,5,2,1,1092
"De 45 a 49 años (018)",220,218,,29,35,45,65,29,11,4,2,831
"De 50 y más años (019)",389,387,4,59,59,57,111,69,23,5,2,1533
"Separado(a) (020)",661,647,6,258,145,82,114,33,9,,14,1579
"De 12 a 14 años (021)",1,1,,1,,,,,,,,1
"De 15 a 19 años (022)",13,9,,8,,,1,,,,4,12
