"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia LAMBAYEQUE (000)",77489,137,4675,2651,2019,7870,10101,6209,7106,34204,526,1991
"Agric., ganadería, caza y silvicultura (001)",35242,,99,79,22,,9642,16,106,25278,,
"Pesca (002)",1075,,2,5,,,459,1,3,605,,
"Explotación de minas y canteras (003)",207,1,4,4,1,,,54,9,134,,
"Industrias manufactureras (004)",6015,,55,157,92,31,,5005,347,328,,
"Suministro de electricidad, gas y agua (005)",157,1,13,25,23,,,26,23,46,,
"Construcción (006)",3362,,93,102,14,,,190,1870,1093,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",9561,2,87,356,111,6219,,847,105,1834,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",942,,20,39,14,156,,627,68,18,,
"Comercio al por mayor (009)",475,2,11,46,22,352,,2,11,29,,
"Comercio al por menor (010)",8144,,56,271,75,5711,,218,26,1787,,
"Hoteles y restaurantes (011)",1757,1,15,112,44,984,,2,2,597,,
"Trans., almac. y comunicaciones (012)",5959,3,37,147,131,7,,29,4495,1110,,
"Intermediación financiera (013)",148,,18,31,87,,,,,12,,
"Activid.inmobil., empres. y alquileres (014)",1522,1,367,363,202,236,,12,30,311,,
