"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia TRUJILLO (000)",316229,3308,109670,114569,77366,11316
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",990,,73,392,466,59
"Profes., científicos e intelectuales (002)",40211,,9583,18262,11359,1007
"Técnicos de nivel medio y trab. asimilados (003)",23352,12,8128,9120,5558,534
"Jefes y empleados de oficina (004)",18184,,7804,6533,3678,169
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",62600,550,20540,21969,16662,2879
"Agricult. trabaj. calif.agrop. y pesqueros (006)",6920,41,1544,2080,2333,922
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",45824,554,19068,15560,9322,1320
"Obreros construc., conf., papel, fab., instr. (008)",42366,100,12662,16835,11217,1552
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",68309,2026,27970,20974,14744,2595
"Otra (010)",1804,,231,854,715,4
"Ocupación no especificada (011)",5669,25,2067,1990,1312,275
"Hombres (012)",197197,2234,67346,70197,49279,8141
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",670,,42,247,336,45
"Profes., científicos e intelectuales (014)",19878,,3958,8631,6453,836
"Técnicos de nivel medio y trab. asimilados (015)",14523,6,4738,5694,3670,415
"Jefes y empleados de oficina (016)",8936,,3420,3261,2128,127
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",27304,306,9189,9349,7046,1414
"Agricult. trabaj. calif.agrop. y pesqueros (018)",6155,31,1347,1833,2088,856
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",36974,490,15671,12070,7594,1149
"Obreros construc., conf., papel, fab., instr. (020)",41090,90,12222,16321,10939,1518
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",36871,1293,15402,10924,7625,1627
"Otra (022)",1677,,184,802,687,4
"Ocupación no especificada (023)",3119,18,1173,1065,713,150
"Mujeres (024)",119032,1074,42324,44372,28087,3175
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",320,,31,145,130,14
"Profes., científicos e intelectuales (026)",20333,,5625,9631,4906,171
"Técnicos de nivel medio y trab. asimilados (027)",8829,6,3390,3426,1888,119
"Jefes y empleados de oficina (028)",9248,,4384,3272,1550,42
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",35296,244,11351,12620,9616,1465
"Agricult. trabaj. calif.agrop. y pesqueros (030)",765,10,197,247,245,66
