"CUADRO Nº 17: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia HUALLAGA (000)",9304,826,1242,5208,238,1466,324
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",16,16,,,,,
"Profes., científicos e intelectuales (002)",409,387,,17,1,4,
"Técnicos de nivel medio y trab. asimilados (003)",141,107,,26,8,,
"Jefes y empleados de oficina (004)",126,124,,,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",477,49,5,359,13,51,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",4488,,,4285,203,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",215,,67,138,6,4,
"Obreros construc.,conf.,papel, fab., instr. (008)",301,26,81,184,6,4,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",2913,72,1039,121,,1357,324
"Otra (010)",28,28,,,,,
"Ocupación no especificada (011)",190,17,50,78,1,44,
"Hombres (012)",7257,461,1061,4595,216,910,14
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",14,14,,,,,
"Profes., científicos e intelectuales (014)",220,208,,9,1,2,
"Técnicos de nivel medio y trab. asimilados (015)",74,52,,19,3,,
"Jefes y empleados de oficina (016)",56,56,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",222,32,1,175,8,6,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",4234,,,4041,193,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",182,,63,111,5,3,
"Obreros construc.,conf.,papel, fab., instr. (020)",299,26,80,183,6,4,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",1880,41,905,34,,886,14
"Otra (022)",26,26,,,,,
"Ocupación no especificada (023)",50,6,12,23,,9,
"Mujeres (024)",2047,365,181,613,22,556,310
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",2,2,,,,,
"Profes., científicos e intelectuales (026)",189,179,,8,,2,
"Técnicos de nivel medio y trab. asimilados (027)",67,55,,7,5,,
"Jefes y empleados de oficina (028)",70,68,,,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",255,17,4,184,5,45,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",254,,,244,10,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",33,,4,27,1,1,
"Obreros construc.,conf.,papel, fab., instr. (032)",2,,1,1,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",1033,31,134,87,,471,310
"Otra (034)",2,2,,,,,
"Ocupación no especificada (035)",140,11,38,55,1,35,
,,,,,,,
"URBANA (036)",4969,759,607,2701,88,574,240
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",15,15,,,,,
"Profes., científicos e intelectuales (038)",362,340,,17,1,4,
"Técnicos de nivel medio y trab. asimilados (039)",135,101,,26,8,,
"Jefes y empleados de oficina (040)",124,122,,,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",416,46,4,311,11,44,
"Agricult.trabaj.calif.agrop.y pesqueros (042)",1936,,,1880,56,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (043)",201,,57,134,6,4,
"Obreros construc.,conf.,papel, fab., instr. (044)",278,22,73,174,5,4,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (045)",1382,70,455,114,,503,240
"Otra (046)",28,28,,,,,
"Ocupación no especificada (047)",92,15,18,45,1,13,
"Hombres (048)",3633,426,518,2262,71,343,13
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",13,13,,,,,
"Profes., científicos e intelectuales (050)",197,185,,9,1,2,
"Técnicos de nivel medio y trab. asimilados (051)",70,48,,19,3,,
"Jefes y empleados de oficina (052)",56,56,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",190,30,1,147,6,6,
"Agricult.trabaj.calif.agrop.y pesqueros (054)",1810,,,1759,51,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (055)",169,,53,108,5,3,
"Obreros construc.,conf.,papel, fab., instr. (056)",276,22,72,173,5,4,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (057)",785,40,382,30,,320,13
"Otra (058)",26,26,,,,,
"Ocupación no especificada (059)",41,6,10,17,,8,
"Mujeres (060)",1336,333,89,439,17,231,227
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",2,2,,,,,
"Profes., científicos e intelectuales (062)",165,155,,8,,2,
"Técnicos de nivel medio y trab. asimilados (063)",65,53,,7,5,,
"Jefes y empleados de oficina (064)",68,66,,,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",226,16,3,164,5,38,
"Agricult.trabaj.calif.agrop.y pesqueros (066)",126,,,121,5,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (067)",32,,4,26,1,1,
"Obreros construc.,conf.,papel, fab., instr. (068)",2,,1,1,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (069)",597,30,73,84,,183,227
"Otra (070)",2,2,,,,,
"Ocupación no especificada (071)",51,9,8,28,1,5,
,,,,,,,
"RURAL (072)",4335,67,635,2507,150,892,84
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",1,1,,,,,
"Profes., científicos e intelectuales (074)",47,47,,,,,
"Técnicos de nivel medio y trab. asimilados (075)",6,6,,,,,
"Jefes y empleados de oficina (076)",2,2,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",61,3,1,48,2,7,
"Agricult.trabaj.calif.agrop.y pesqueros (078)",2552,,,2405,147,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (079)",14,,10,4,,,
"Obreros construc.,conf.,papel, fab., instr. (080)",23,4,8,10,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (081)",1531,2,584,7,,854,84
"Ocupación no especificada (083)",98,2,32,33,,31,
"Hombres (084)",3624,35,543,2333,145,567,1
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",1,1,,,,,
"Profes., científicos e intelectuales (086)",23,23,,,,,
"Técnicos de nivel medio y trab. asimilados (087)",4,4,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",32,2,,28,2,,
"Agricult.trabaj.calif.agrop.y pesqueros (090)",2424,,,2282,142,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (091)",13,,10,3,,,
"Obreros construc.,conf.,papel, fab., instr. (092)",23,4,8,10,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (093)",1095,1,523,4,,566,1
"Ocupación no especificada (095)",9,,2,6,,1,
"Mujeres (096)",711,32,92,174,5,325,83
"Profes., científicos e intelectuales (098)",24,24,,,,,
"Técnicos de nivel medio y trab. asimilados (099)",2,2,,,,,
"Jefes y empleados de oficina (100)",2,2,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (101)",29,1,1,20,,7,
"Agricult.trabaj.calif.agrop.y pesqueros (102)",128,,,123,5,,
