"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia LUCANAS (000)",26775,13002,13773
"Casa independiente (001)",22839,12777,10062
"Departamento en edificio (002)",8,8,
"Vivienda en quinta (003)",65,65,
"Vivienda en casa de vecindad (004)",103,103,
"Choza o cabaña (005)",3689,,3689
"Vivienda improvisada (006)",31,31,
"Local no dest.para hab. humana (007)",31,16,15
"Otro tipo (008)",9,2,7
