"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia YAUYOS (000)",24478,4964,5752,5712,4599,3451
"Sin nivel (001)",1178,90,67,202,275,544
"Educación inicial (002)",337,337,,,,
"Primaria (003)",9542,3606,572,1213,1897,2254
"Secundaria (004)",8862,931,3518,2527,1484,402
"Superior no univ. incompleta (005)",1213,,589,399,190,35
"Superior no univ. completa (006)",1444,,569,562,246,67
"Superior univ. incompleta (007)",524,,200,191,107,26
"Superior univ. completa (008)",1378,,237,618,400,123
"PEA (010)",13042,160,3395,4447,3353,1687
"Sin nivel (011)",475,4,31,117,143,180
"Educación inicial (012)",1,1,,,,
"Primaria (013)",3677,104,351,805,1262,1155
"Secundaria (014)",5320,51,1898,1978,1158,235
"Superior no univ. incompleta (015)",829,,310,331,167,21
"Superior no univ. completa (016)",1202,,478,484,207,33
"Superior univ. incompleta (017)",375,,110,167,86,12
"Superior univ. completa (018)",1163,,217,565,330,51
"Ocupada (020)",12764,155,3255,4363,3317,1674
"Sin nivel (021)",471,4,30,115,142,180
"Educación inicial (022)",1,1,,,,
"Primaria (023)",3625,99,340,790,1251,1145
"Secundaria (024)",5180,51,1818,1941,1137,233
"Superior no univ. incompleta (025)",806,,296,323,166,21
"Superior no univ. completa (026)",1173,,459,475,206,33
"Superior univ. incompleta (027)",370,,109,163,86,12
"Superior univ. completa (028)",1138,,203,556,329,50
"Desocupada (030)",278,5,140,84,36,13
"Sin nivel (031)",4,,1,2,1,
