"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia CUSCO (000)",168924,101116,6250,2293,51176,2551,1077,181,63,4217
"Hombres (001)",68942,50349,3570,971,10265,1132,506,84,57,2008
"Mujeres (002)",99982,50767,2680,1322,40911,1419,571,97,6,2209
"De 06 a 14 años (003)",61793,58949,,,1666,588,6,27,,557
"Hombres (004)",31078,29745,,,784,294,4,9,,242
"Mujeres (005)",30715,29204,,,882,294,2,18,,315
"De 15 a 29 años (006)",57570,40256,111,504,15124,,143,47,61,1324
"Hombres (007)",24094,19734,42,227,3327,,61,24,55,624
"Mujeres (008)",33476,20522,69,277,11797,,82,23,6,700
"De 30 a 44 años (009)",17922,1505,129,433,14778,,228,28,2,819
"Hombres (010)",3466,694,63,148,2027,,111,13,2,408
"Mujeres (011)",14456,811,66,285,12751,,117,15,,411
"De 45 a 64 años (012)",17056,350,2105,684,12563,19,538,34,,763
"Hombres (013)",4388,148,1021,270,2253,11,253,16,,416
"Mujeres (014)",12668,202,1084,414,10310,8,285,18,,347
"De 65 y más años (015)",14583,56,3905,672,7045,1944,162,45,,754
"Hombres (016)",5916,28,2444,326,1874,827,77,22,,318
"Mujeres (017)",8667,28,1461,346,5171,1117,85,23,,436
,,,,,,,,,,
"AREA URBANA (018)",160707,96314,6215,2257,47990,2488,1075,172,61,4135
"Hombres (019)",65933,47876,3544,957,9852,1100,506,81,55,1962
"Mujeres (020)",94774,48438,2671,1300,38138,1388,569,91,6,2173
"De 06 a 14 años (021)",57989,55275,,,1577,573,6,26,,532
"Hombres (022)",29142,27881,,,737,284,4,8,,228
"Mujeres (023)",28847,27394,,,840,289,2,18,,304
"De 15 a 29 años (024)",55561,39159,109,497,14239,,143,46,59,1309
"Hombres (025)",23355,19142,41,224,3197,,61,23,53,614
"Mujeres (026)",32206,20017,68,273,11042,,82,23,6,695
"De 30 a 44 años (027)",16771,1479,128,424,13672,,228,26,2,812
"Hombres (028)",3352,680,62,147,1935,,111,12,2,403
"Mujeres (029)",13419,799,66,277,11737,,117,14,,409
"De 45 a 64 años (030)",16275,345,2090,670,11841,16,536,31,,746
"Hombres (031)",4274,145,1009,262,2176,9,253,16,,404
"Mujeres (032)",12001,200,1081,408,9665,7,283,15,,342
"De 65 y más años (033)",14111,56,3888,666,6661,1899,162,43,,736
"Hombres (034)",5810,28,2432,324,1807,807,77,22,,313
"Mujeres (035)",8301,28,1456,342,4854,1092,85,21,,423
,,,,,,,,,,
"AREA RURAL (036)",8217,4802,35,36,3186,63,2,9,2,82
"Hombres (037)",3009,2473,26,14,413,32,,3,2,46
"Mujeres (038)",5208,2329,9,22,2773,31,2,6,,36
"De 06 a 14 años (039)",3804,3674,,,89,15,,1,,25
"Hombres (040)",1936,1864,,,47,10,,1,,14
"Mujeres (041)",1868,1810,,,42,5,,,,11
"De 15 a 29 años (042)",2009,1097,2,7,885,,,1,2,15
"Hombres (043)",739,592,1,3,130,,,1,2,10
"Mujeres (044)",1270,505,1,4,755,,,,,5
"De 30 a 44 años (045)",1151,26,1,9,1106,,,2,,7
"Hombres (046)",114,14,1,1,92,,,1,,5
"Mujeres (047)",1037,12,,8,1014,,,1,,2
"De 45 a 64 años (048)",781,5,15,14,722,3,2,3,,17
"Hombres (049)",114,3,12,8,77,2,,,,12
"Mujeres (050)",667,2,3,6,645,1,2,3,,5
"De 65 y más años (051)",472,,17,6,384,45,,2,,18
"Hombres (052)",106,,12,2,67,20,,,,5
"Mujeres (053)",366,,5,4,317,25,,2,,13
