"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia HUAURA (000)",77761,680,24922,28201,20021,3937
"Agric., ganadería, caza y silvicultura (001)",19688,282,6472,6152,5107,1675
"Pesca (002)",1463,7,421,531,434,70
"Explotación de minas y canteras (003)",162,,64,69,28,1
"Industrias manufactureras (004)",5362,40,1891,1897,1301,233
"Suministro de electricidad, gas y agua (005)",159,2,43,72,41,1
"Construcción (006)",4005,14,1395,1472,991,133
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",15748,201,4534,5731,4325,957
"Venta, mant.y rep. veh.autom.y motoc. (008)",1431,6,554,485,327,59
"Comercio al por mayor (009)",941,7,344,387,181,22
"Comercio al por menor (010)",13376,188,3636,4859,3817,876
"Hoteles y restaurantes (011)",3990,51,1408,1361,1013,157
"Trans., almac. y comunicaciones (012)",6793,15,2635,2538,1432,173
"Intermediación financiera (013)",462,,204,191,65,2
"Activid.inmobil., empres. y alquileres (014)",4089,12,1471,1663,858,85
"Admin.pub. y defensa; p. segur.soc.afil (015)",2354,,600,1013,705,36
"Enseñanza (016)",5486,,1162,2446,1780,98
"Servicios sociales y de salud (017)",1662,,351,783,486,42
"Otras activ. serv.comun.soc y personales (018)",2408,22,826,892,570,98
"Hogares privados con servicio doméstico (019)",2125,24,839,759,458,45
"Actividad economica no especificada (021)",1805,10,606,631,427,131
"Hombres (022)",51264,479,16690,17835,13303,2957
"Agric., ganadería, caza y silvicultura (023)",15732,227,5227,4754,4114,1410
"Pesca (024)",1404,7,400,513,414,70
"Explotación de minas y canteras (025)",155,,61,65,28,1
"Industrias manufactureras (026)",4161,31,1499,1411,1015,205
"Suministro de electricidad, gas y agua (027)",139,2,38,60,39,
"Construcción (028)",3920,14,1356,1440,978,132
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",8077,122,2458,2815,2134,548
"Venta, mant.y rep. veh.autom.y motoc. (030)",1327,5,501,453,311,57
"Comercio al por mayor (031)",622,5,250,246,107,14
"Comercio al por menor (032)",6128,112,1707,2116,1716,477
"Hoteles y restaurantes (033)",1304,19,499,393,328,65
"Trans., almac. y comunicaciones (034)",6316,15,2352,2393,1390,166
"Intermediación financiera (035)",261,,103,113,43,2
"Activid.inmobil., empres. y alquileres (036)",3048,12,1014,1246,699,77
"Admin.pub. y defensa; p. segur.soc.afil (037)",1528,,314,672,509,33
"Enseñanza (038)",2297,,399,931,895,72
