"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CHURCAMPA (000)",13112,10658,1060,455,939
"Hombres (001)",9188,7215,823,361,789
"Mujeres (002)",3924,3443,237,94,150
"De 06 a 14 años (003)",136,117,16,2,1
"Hombres (004)",79,63,13,2,1
"Mujeres (005)",57,54,3,,
"De 15 a 29 años (006)",3890,3132,363,126,269
"Hombres (007)",2689,2111,270,105,203
"Mujeres (008)",1201,1021,93,21,66
"De 30 a 44 años (009)",4537,3489,400,231,417
"Hombres (010)",3169,2341,297,173,358
"Mujeres (011)",1368,1148,103,58,59
"De 45 a 64 años (012)",3499,2936,229,89,245
"Hombres (013)",2498,2009,193,76,220
"Mujeres (014)",1001,927,36,13,25
"De 65 y más años (015)",1050,984,52,7,7
"Hombres (016)",753,691,50,5,7
"Mujeres (017)",297,293,2,2,
,,,,,
"URBANA (018)",3679,2104,376,322,877
"Hombres (019)",2498,1268,243,241,746
"Mujeres (020)",1181,836,133,81,131
"De 06 a 14 años (021)",34,32,2,,
"Hombres (022)",23,22,1,,
"Mujeres (023)",11,10,1,,
"De 15 a 29 años (024)",983,534,133,72,244
"Hombres (025)",653,327,78,56,192
"Mujeres (026)",330,207,55,16,52
"De 30 a 44 años (027)",1483,738,164,189,392
"Hombres (028)",995,423,103,134,335
"Mujeres (029)",488,315,61,55,57
"De 45 a 64 años (030)",986,624,68,60,234
"Hombres (031)",708,393,53,50,212
"Mujeres (032)",278,231,15,10,22
"De 65 y más años (033)",193,176,9,1,7
"Hombres (034)",119,103,8,1,7
"Mujeres (035)",74,73,1,,
,,,,,
"RURAL (036)",9433,8554,684,133,62
"Hombres (037)",6690,5947,580,120,43
"Mujeres (038)",2743,2607,104,13,19
"De 06 a 14 años (039)",102,85,14,2,1
"Hombres (040)",56,41,12,2,1
"Mujeres (041)",46,44,2,,
"De 15 a 29 años (042)",2907,2598,230,54,25
"Hombres (043)",2036,1784,192,49,11
"Mujeres (044)",871,814,38,5,14
"De 30 a 44 años (045)",3054,2751,236,42,25
"Hombres (046)",2174,1918,194,39,23
"Mujeres (047)",880,833,42,3,2
"De 45 a 64 años (048)",2513,2312,161,29,11
"Hombres (049)",1790,1616,140,26,8
"Mujeres (050)",723,696,21,3,3
"De 65 y más años (051)",857,808,43,6,
"Hombres (052)",634,588,42,4,
"Mujeres (053)",223,220,1,2,
